Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.153479,0.14978,0.142774,0.142499,0.175522,0.158729,0.144818,0.170987,0.141991,0.150686,0.152225,0.189159,0.209965,0.274602,0.287796,0.360012,0.344236,0.286359,0.266712,0.242755,0.241448,0.231492,0.136358,0.118643,0.102992,0.085117,0.07913,0.074436,0.073554,0.06855,0.050138,0.046351,0.043914,0.044745,0.038301,0.052298,0.055794,0.079669,0.147376,0.224491,0.278192,0.392641,0.323442,0.26654,0.242702,0.249091,0.219353,0.291328,0.321419,0.319753,0.310825,0.312157,0.278421
Africa Eastern and Southern,1.355671,1.308991,1.322317,1.4018,1.398298,1.421979,1.443536,1.421562,1.284081,1.273287,1.309004,1.319143,1.293093,1.265335,1.298203,1.289079,1.253746,1.290583,1.273489,1.227436,1.232884,1.174643,1.124064,1.093325,1.088875,1.117273,1.128701,1.144984,1.136154,1.073763,1.062242,1.064154,1.069349,1.096309,1.15053,1.152525,1.142393,1.160497,1.192889,1.108703,1.107383,1.065235,1.073351,1.087644,1.096735,1.046291,1.025492,1.013008,0.998509,0.984697,0.897581,0.89917,0.858132
Africa Western and Central,0.353118,0.457579,0.550486,0.698105,0.84424,0.658718,0.727098,0.618383,0.625334,0.802392,0.719389,0.603696,0.56275,0.558013,0.550518,0.558077,0.529114,0.497212,0.521322,0.53237,0.490471,0.501997,0.528408,0.506398,0.477734,0.507305,0.571286,0.553422,0.518761,0.511939,0.532846,0.549679,0.500761,0.528316,0.50995,0.499989,0.463581,0.436396,0.449869,0.415925,0.455504,0.472251,0.468177,0.498386,0.511575,0.501556,0.513156,0.490151,0.506407,0.516134,0.498327,0.526349,0.521524
Albania,2.268859,2.211392,2.460138,2.156088,2.267838,2.255543,2.357795,2.467033,2.657986,3.031822,3.015198,2.594481,2.612203,2.739947,2.902911,2.723355,2.696819,2.68932,2.609428,2.449269,2.021912,1.340643,0.727802,0.688752,0.730873,0.649417,0.648731,0.502052,0.612077,0.992963,1.046576,1.123989,1.313237,1.38557,1.458371,1.377691,1.3818,1.429621,1.42333,1.463219,1.567788,1.721296,1.586495,1.693456,1.839448,1.785089,1.687396,2.024442,2.045493,1.94096,1.806461,2.053289,1.845258
Algeria,1.428569,1.632137,2.436489,3.202155,2.636587,2.322134,2.868792,3.064758,3.276094,3.183728,3.074298,2.809569,2.861443,2.879325,2.93151,3.257131,3.295127,3.081038,3.025351,2.956818,2.843649,2.893424,3.18393,3.041935,2.910101,2.944097,2.807436,2.691845,2.709797,2.787757,2.845567,2.739233,2.824735,2.999343,2.961418,3.062594,3.137802,3.185667,3.265903,3.270996,3.277772,3.381899,3.726008,3.793616,3.954416,4.112455,3.934956,3.98952,4.112579,4.196519,3.904231,4.050872,4.160059
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002978,0.002865,0.002757,0.002655,0.002557,0.002465,0.002377,0.002293,0.002213,0.002144,0.002088,0.002039,0.001994,0.001951,0.001911,0.001874,0.00184,0.001807,0.001778,0.001759,0.001753,0.001752,0.001755,0.00176,0.001766,0.001774,0.001782,0.001791,0.001801,0.001811,0.001822,0.001835,0.001852,0.00187,0.001891,0.001914,0.001939,0.001964,0.001992,0.00201,0.002031,0.002069
Angola,1.526435,1.422042,1.678921,1.776153,1.785263,1.593539,1.03072,1.644408,1.87631,1.806949,1.760072,1.568625,1.459337,1.455623,1.417008,1.442236,1.405027,1.381396,1.37561,1.343909,0.965977,0.979787,0.975473,0.946571,0.867223,0.945541,1.106403,1.118809,1.123826,1.150905,1.019582,0.966866,0.9185,0.965781,0.95107,0.810677,0.815392,0.820841,0.886038,0.940848,0.976178,0.976536,0.981682,1.090526,1.137203,1.175039,1.071676,0.925922,0.82481,0.833846,0.61397,0.740293,0.748811
Antigua and Barbuda,1.591557,1.58507,1.932988,1.958285,1.753099,2.128793,1.932185,2.129592,2.123739,2.092604,2.0616,1.803139,2.282936,1.319802,1.612157,1.625613,1.726928,2.292559,2.486522,2.559811,2.60045,2.598325,2.574374,2.465428,2.634532,2.701315,2.624547,2.720504,2.732972,2.721744,1.811459,1.743154,1.948541,2.101844,2.113848,2.166786,2.434122,2.626554,2.787293,3.168474,3.26887,2.464903,2.599129,2.950127,3.151017,3.254706,3.500094,3.064067,3.158612,3.749836,3.54942,3.589644,3.694528
Arab World,2.305482,2.38879,2.585014,2.896692,2.753724,2.681203,3.059291,3.05887,3.166497,3.283132,3.339617,3.045091,3.066125,3.081282,2.938617,2.951867,2.989741,3.035982,3.108446,3.164481,3.054233,3.072672,3.192409,3.322074,3.433646,3.448264,3.453463,3.53178,3.491193,3.464847,3.512152,3.633115,3.667792,3.689508,3.80568,3.979486,4.079924,4.138974,4.33299,4.37658,4.543197,4.565209,4.774431,4.751353,4.813726,4.804054,4.752467,4.73117,4.618859,4.57737,4.361645,4.498561,4.516559
Argentina,3.669432,3.62538,3.642473,3.707234,3.665603,3.515789,3.638923,3.728991,3.635207,3.783971,3.63699,3.472764,3.390192,3.453107,3.378344,3.10724,3.300359,3.429078,3.495432,3.339979,3.058863,3.177877,3.19131,3.258523,3.313543,3.315769,3.564587,3.642791,3.794865,3.803022,3.674858,3.490424,3.261037,3.518489,3.855797,3.917427,4.102792,4.325342,4.43359,4.034294,4.294546,4.429218,4.478861,4.536587,4.416746,4.512587,4.422301,4.321029,4.250758,4.075041,3.720029,4.097697,4.295312
