Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.31827,277.118051,338.139974,346.071627,338.637274,363.640141,367.758312,410.757729,417.647283,488.830652,542.87103,525.426983,568.929021,580.603833,575.146246,565.56973,563.872337,562.769574,553.125152,557.861533,527.834554,408.625855,377.665627
Africa Eastern and Southern,1186.34962,1160.458789,1219.356473,1253.445317,1275.886801,1304.275651,1329.349592,1361.046234,1377.225802,1406.527848,1381.683601,1415.958631,1414.312262,1437.080155,1471.295277,1448.569248,1439.981246,1415.348407,1394.004525,1390.618796,1423.113038,1433.974089,1392.88662,1350.787357,1355.047856,1313.726596,1304.018904,1315.363517,1332.473181,1329.882345,1293.8702,1257.430106,1195.089233,1152.691173,1143.988455,1163.209534,1195.139953,1209.817419,1199.802744,1199.52915,1205.981054,1216.335357,1231.444568,1235.711648,1271.312757,1314.387938,1364.705254,1417.472432,1440.597284,1414.587751,1449.48916,1468.630572,1456.722813,1478.977977,1495.955574,1498.87524,1490.907546,1490.911098,1489.942137,1479.372387,1399.398498,1425.209057,1440.430366
Africa Western and Central,1130.411973,1127.572551,1144.920732,1199.197534,1236.216308,1258.758091,1212.139623,1078.742506,1070.792718,1203.089509,1378.008232,1485.095154,1495.035946,1514.982351,1622.479733,1547.833801,1633.776148,1662.496283,1585.725007,1619.007429,1603.202278,1454.731365,1366.898559,1246.399275,1219.86149,1250.108612,1231.723348,1215.363541,1238.715918,1225.625316,1260.279788,1241.130774,1235.032264,1186.187798,1152.470466,1142.278106,1162.997495,1181.462195,1190.833712,1176.33412,1188.037306,1215.849491,1299.695421,1334.725943,1402.228768,1441.988594,1475.923183,1513.01943,1562.211246,1612.488373,1677.952383,1711.539231,1749.981387,1805.798424,1857.171163,1860.727686,1815.171203,1808.722201,1814.694636,1829.068064,1719.261504,1721.909475,1757.45659
Albania,,,,,,,,,,,,,,,,,,,,,1823.48926,1890.021975,1905.063527,1885.6928,1823.323563,1818.02507,1883.740414,1831.947039,1772.179358,1894.878274,1682.881087,1218.964273,1138.23774,1254.678884,1367.22059,1558.966386,1683.769655,1495.900353,1630.438741,1841.807628,1991.914359,2188.918545,2297.108535,2428.689347,2567.297637,2712.869838,2894.360326,3105.879676,3345.981618,3459.246956,3579.824132,3677.894579,3771.847819,3895.899756,4045.119349,4199.539129,4431.556358,4648.230787,4893.823755,5072.436484,4980.616995,5511.757434,5867.650962
Algeria,2388.420079,2027.273515,1604.487738,2122.431092,2209.906979,2311.739746,2161.491339,2313.258588,2505.314097,2655.443288,2826.241462,2449.952269,3050.822166,3093.380555,3245.607995,3290.827601,3408.018208,3459.303996,3672.11778,3830.809592,3742.710247,3731.939054,3840.575386,3912.936591,3993.395405,4002.556194,3888.364759,3746.165667,3606.268388,3666.853079,3605.687012,3478.509763,3455.929363,3302.919506,3201.569144,3255.187269,3322.955381,3297.466034,3410.882544,3471.491963,3553.324205,3610.006056,3754.660815,3945.898161,4066.282048,4223.602521,4279.615471,4339.250558,4367.56538,4336.100541,4456.610274,4501.354301,4518.43979,4543.23444,4634.101492,4685.059027,4768.731401,4742.900755,4717.003589,4672.664087,4363.685338,4456.746876,4544.466881
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13054.636433,13201.734752,13291.535663,13284.279113,12794.756502,13092.311139,12809.463308,12342.057538,12446.308627,12521.809506,12068.266737,11871.793719,12203.089471,12727.410265,12665.282992,11930.777124,12412.602407,12524.016025,13194.27474,13233.578482,13709.09749
Andorra,,,,,,,,,,,43005.562609,41930.170216,42354.765028,42738.188392,42363.465877,40073.429192,39058.607006,38021.837694,36647.719261,34984.015527,34281.76005,32958.780525,31996.559233,31117.210843,30392.856343,29997.100358,29680.146887,30065.012091,30469.358554,31180.426981,31143.161505,29642.319906,28161.955722,26518.24609,26587.150794,27619.519036,28871.229637,31140.70431,31800.379005,32938.659214,34113.833403,36790.12099,38084.5022,39620.338771,40054.339968,40528.1939,41322.072332,40789.17813,37775.143885,35604.400734,36277.281483,37637.504514,36206.995443,35684.186197,37300.641941,38654.952879,40085.039428,39361.080754,39242.163331,39346.293518,34536.666145,36929.0365,39780.415299
Angola,,,,,,,,,,,,,,,,,,,,,3186.739597,2937.551293,2831.469942,2842.765399,2903.70027,2896.783036,2874.860184,2890.075476,2964.572345,2866.246114,2675.052394,2612.331705,2380.582742,1752.723187,1719.542945,1912.517775,2099.350454,2176.87758,2203.986927,2179.06427,2172.463267,2189.173522,2404.977921,2403.404152,2583.324115,2843.396636,3065.055762,3336.363325,3559.195225,3494.807245,3540.791596,3528.168244,3682.352293,3716.297187,3746.8162,3641.728939,3454.033172,3328.898212,3196.79007,3083.975344,2864.16146,2832.817771,2860.902519
Antigua and Barbuda,,,,,,,,,,,,,,,,,,6062.497309,6310.85528,6795.693191,7323.125855,7584.592527,7564.221824,7951.664826,8766.990576,9479.642511,10620.998192,11383.202468,12037.426533,12729.290432,13166.524117,13385.011436,13326.27288,13776.826414,14420.469398,13519.528771,14117.867913,14588.307984,14991.780261,15282.973399,15961.091836,15003.438917,14968.070301,15703.934715,16433.413054,17301.213432,19259.648652,20770.268973,20464.786307,17746.700856,16135.397384,15633.909113,15989.39002,15748.195202,15967.284997,16077.634077,16635.895233,16992.93275,18042.159644,18525.258891,14950.89424,16084.721441,17456.872224
Arab World,,,,,,,2395.356657,2486.411862,2676.453679,2793.888453,3337.446902,3486.385315,3860.830668,4247.555252,4557.377057,4417.721641,4891.800304,5053.919255,5034.116803,5377.870034,5521.183405,5392.587741,4914.869242,4583.436024,4497.033604,4324.147518,4161.667286,4049.429265,4067.954089,4111.569852,4290.848651,4163.659558,4324.832647,4343.344472,4367.613184,4377.941268,4478.22853,4609.89247,4714.104266,4730.375336,4910.082592,4892.988553,4835.589417,4926.589283,5250.083752,5412.649413,5614.91183,5727.333223,5894.477466,5787.827126,5948.129165,6036.420834,6218.046322,6220.638587,6238.072566,6290.558795,6366.048656,6322.526144,6377.120474,6367.60444,5904.571242,6073.562242,6351.571842
