Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,32.799,33.291,33.757,34.201,34.673,35.124,35.583,36.042,36.51,36.979,37.46,37.932,38.423,38.951,39.469,39.994,40.518,41.082,40.086,38.844,39.258,39.406,36.058,36.517,31.473,32.132,38.4,38.831,43.238,44.496,45.118,45.521,46.569,51.021,50.969,52.103,52.83,53.212,52.487,54.532,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617
Africa Eastern and Southern,44.169658,44.468838,44.87789,45.160583,45.535695,45.770723,45.765725,46.440745,46.738632,46.977476,47.248006,47.464016,47.166792,47.746608,47.744328,47.968548,48.568138,48.860725,48.983917,49.416988,49.816713,50.020493,50.290829,48.904096,48.997959,49.392902,50.009761,51.068943,50.876607,51.265874,51.096326,50.873244,50.715946,51.073762,50.966589,51.482057,51.35319,51.570887,51.317955,51.807077,52.557342,52.875536,53.206744,53.678305,54.192928,54.807681,55.693515,56.484353,57.240106,58.095527,58.827279,59.200004,60.249512,60.89574,61.251436,61.713031,62.167981,62.591275,63.330691,63.857261,63.766484,62.979999,64.48702
Africa Western and Central,37.779636,38.058956,38.681792,38.936918,39.19458,39.479784,39.719248,39.529359,40.25889,40.567814,41.277939,41.730102,42.356132,42.868123,43.437155,43.967079,44.75257,45.362264,45.876278,46.328507,46.696229,47.075219,47.373942,47.619503,47.797514,47.944275,48.037974,48.139377,48.371335,48.495964,48.459295,48.531076,48.688592,48.85494,48.859283,49.027007,49.111557,49.218783,49.452459,49.823763,50.297983,50.67779,51.108024,51.578122,52.106083,52.555753,52.97871,53.482431,53.916262,53.852245,54.603353,54.963973,55.292706,55.554907,55.695446,56.038336,56.392452,56.626439,57.036976,57.149847,57.364425,57.362572,57.987813
Albania,56.413,57.488,58.494,59.479,60.404,61.273,62.149,62.976,63.788,64.538,65.234,65.896,66.526,67.107,67.633,68.12,68.57,68.992,69.367,69.617,69.903,70.145,70.425,70.705,70.984,71.282,71.665,71.981,72.217,72.457,72.71,73.001,73.303,73.638,73.837,74.022,74.113,73.383,74.357,74.568,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769
Algeria,40.839,40.792,39.527,43.143,42.987,42.846,42.745,42.731,42.806,42.991,43.328,43.782,44.384,45.102,45.953,46.921,48.034,49.249,50.615,52.409,54.512,57.422,59.594,61.251,62.722,64.155,65.273,66.13,66.91,67.461,67.658,67.692,67.725,67.797,67.284,67.691,68.219,68.859,69.327,70.088,70.576,71.025,71.644,71.906,72.536,72.836,73.116,73.346,73.618,73.871,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129
American Samoa,65.053,65.648,66.008,66.161,66.135,65.996,58.284,65.807,65.847,66.05,66.364,66.77,67.186,67.604,67.95,68.256,68.475,68.701,68.881,69.114,69.413,69.731,69.975,70.163,70.326,70.532,70.704,70.828,70.883,70.929,71.107,71.312,71.511,71.54,71.569,71.565,71.576,71.606,71.542,71.484,71.443,71.573,71.755,71.698,72.277,72.382,72.397,72.365,72.43,70.839,72.587,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752
Andorra,72.094,72.573,72.993,73.298,73.624,73.856,74.02,74.119,74.22,74.296,74.452,74.615,74.864,75.096,75.34,75.567,75.869,76.154,76.488,76.819,77.137,77.391,77.617,77.787,77.916,78.006,78.107,78.189,78.364,78.557,78.961,79.346,79.794,80.186,80.587,80.804,81.009,81.145,81.28,81.55,81.863,82.162,82.448,82.718,82.815,83.086,83.374,83.632,83.855,84.1,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016
Angola,37.933,36.902,37.168,37.419,37.704,37.968,38.258,38.616,38.968,39.329,39.688,40.076,40.469,40.871,41.26,40.817,40.812,41.215,41.573,41.913,42.242,42.556,42.857,41.972,42.245,42.495,42.739,40.786,41.471,41.698,41.854,43.812,42.267,42.19,43.567,46.139,46.418,46.688,45.452,45.808,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246
Antigua and Barbuda,62.635,63.335,63.995,64.697,65.428,66.171,66.902,67.586,68.23,68.827,69.371,69.861,70.304,70.71,71.095,71.447,71.794,72.149,72.5,72.823,73.094,73.32,73.525,73.684,73.808,73.873,73.893,73.873,73.811,73.628,73.602,73.472,73.386,73.39,73.493,73.576,73.839,74.045,74.187,74.456,74.819,75.108,75.237,75.313,75.329,75.364,75.506,75.72,76.075,76.386,76.701,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483
Arab World,44.794056,45.545371,45.993769,46.979338,47.570034,48.117159,48.625424,49.092434,49.657787,50.148857,50.692871,51.318319,51.89371,52.30196,52.92555,53.420351,53.850649,55.081922,55.757128,56.479748,57.006353,57.569166,57.870235,58.637607,59.329582,59.989461,60.918684,61.620809,61.671533,62.298247,62.755973,62.827507,63.575576,64.60128,64.850083,65.202506,65.526889,65.852992,66.193579,66.549934,66.8907,67.240617,67.58063,67.650335,67.733103,68.040502,68.491265,68.879226,69.258133,69.706904,69.807322,69.363338,69.842317,70.192106,70.535067,70.658012,70.896488,71.112856,71.4313,71.839893,70.726559,70.404114,71.876096
