country_code,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SO,"Somalia, Fed. Rep.",173.2,173.2,173.2,173.2,173.2,173.2,172.6,170.5,166.7,162.4,186.7,363.1,185.4,143.2,138.6,134.3,130.2,156.4,136.4,118.4,114.7,111,143.1
NG,Nigeria,177.3,170.5,163.9,157.4,151.4,145.8,140.9,136.5,132.5,129.2,126.3,123.8,121.6,119.9,118.7,117.8,117.4,117.2,117.2,117.4,117.4,117.6,117.5
NE,Niger,227.9,217.4,205.9,194.1,182.4,171.4,161.6,153.1,146,140.3,136,132.7,130.3,128.3,126.8,125.4,124.3,123.1,121.9,120.8,119.5,118,116
TD,Chad,182.4,179,175.6,172.3,168.8,165.4,161.8,158.1,154.3,150.5,146.7,142.9,139.3,135.8,132.3,128.7,125,121.4,117.6,114,110.6,107.3,103.9
ZI,Africa Western and Central,166.597181522611,160.781319027226,154.908081665289,149.038744531491,143.427087874789,138.055291695204,133.167260085583,128.649851237291,124.411471397873,125.445488444603,117.476014195508,114.067745131608,111.214049041921,108.913498765347,107.620975614798,104.792583996923,103.14513535298,102.05803690267,100.218415291562,100.836050788105,97.6133123185048,97.2224382375747,99.2832976933984
GN,Guinea,165.7,159,152.7,146.9,141.6,137,133.1,129.7,126.9,124.4,122.2,120.3,118.4,116.6,115.4,113.7,111.4,109.5,107.5,105.4,102.9,100.3,97.6
SL,Sierra Leone,222.8,217.3,211.6,205.7,199.6,193.2,186.5,179.6,172.4,165.2,157.9,150.8,144.1,137.9,135.9,136.8,121.8,117,112.4,108.3,104.4,100.6,97.1
SS,South Sudan,180.1,171.1,162.2,153.7,145.8,138.4,131.5,124.9,118.7,112.7,107.2,102.3,98.9,97.2,182.6,240.8,272.9,292,133.7,96.7,96.7,96.7,96.7
CD,"Congo, Dem. Rep.",184.6,178.4,172.2,165.9,159.4,124.4,118.9,113.8,109.2,105,101.4,98.3,95.9,94.1,92.7,91.9,91.5,91.5,91.7,92.2,92.7,92.9,92.5
LR,Liberia,194.9,181.7,168.6,156.2,144.8,134.9,126.5,119.6,114,109.5,105.7,102.4,99.5,97,97,93.2,91.5,90.3,89.4,88.7,88.3,88,87.8
F1,Fragile and conflict affected situations,139.663304975634,134.962580070193,130.161600323767,125.376208782522,121.330725854078,114.126577306174,109.149171543508,105.176996002302,102.593012643702,100.581325792901,96.336323437128,96.472085770265,90.4863505022722,87.6704190123089,87.5040308402698,86.1819885599183,85.1052872408108,84.720717098582,81.1528127352434,80.2596270662433,78.1476318942332,80.2556380274426,81.8733857779701
BF,Burkina Faso,176,171.9,167.3,162.3,156.8,150.8,144.4,138.1,132.1,126.5,121.3,116.6,112.3,108.2,104.3,100.8,97.4,94.1,91,88.1,85.1,82.4,79.8
V1,Pre-demographic dividend,153.006629359386,148.83645252239,141.182276925255,135.117497902469,129.769509536453,121.591205491695,115.833179292551,111.105326355607,106.675489316872,104.898559682785,99.6869369057198,99.7290060999196,93.5323319667408,90.3645430472991,89.7347559293147,88.0082711512247,86.6216026727294,85.8918608835943,82.3130203380837,81.3480106523881,79.2919052506055,78.5546084126998,79.7149340894285
ML,Mali,189.9,183.9,177.7,171.7,165.8,160.1,154.6,149.2,144,138.9,133.8,128.8,123.9,119.1,114.4,109.7,105.1,100.6,96.2,91.9,87.6,83.6,79.7
BJ,Benin,135,131.7,128.5,125.4,122.5,119.7,117,114.4,112,109.7,107.4,105.1,102.9,100.6,98.4,96.1,94,91.8,89.4,87,84.6,82.2,79.6
ZF,Sub-Saharan Africa (excluding high income),151.705839015928,147.635756521499,140.196928211388,134.297843162835,129.076537731594,121.036019797292,115.294477033996,110.451535201285,105.750913355033,103.921483708567,98.6692400191172,98.5394305235576,92.3314044387644,89.1900482627552,88.5530479220966,86.8415074660698,85.4499727809688,84.7174211501338,81.2293290413249,80.3485191522422,78.4093724792133,77.756574722248,78.984092218843
XH,IDA blend,132.632143378455,128.523722514361,124.427727125497,120.432492409236,116.719834111149,113.096678219845,109.504672853843,106.195180936754,102.989146998811,100.274455807164,97.7581338926115,95.4071007579972,93.0603666172748,90.870695521886,89.0200242810528,87.3420837922888,85.7706738523369,84.3590132998074,82.9417022338447,81.79549064533,80.445811896786,79.4387739493455,78.3794185953685
ZG,Sub-Saharan Africa,150.4,146.3,138.9,133,127.7,119.8,114,109.1,104.5,102.8,97.2,97.1,90.7,87.6,86.8,85,83.4,82.5,79,78,75.9,77.1,78.3
T6,Sub-Saharan Africa (IDA & IBRD countries),150.449975195054,146.147484835286,138.828602023297,132.894415586813,127.561205229801,119.714010800218,113.978539820994,109.090045419843,104.381473735647,102.310889811034,97.1644504215407,96.6851412592745,90.7284635079696,87.5662468113281,86.6610642084607,84.7782950529979,83.1926115111527,82.2279275355716,78.775492858211,77.7158849260533,75.7375422540307,77.0257501994801,77.9064871983318
XM,Low income,150,147.4,138.7,131.5,126.9,116.7,110.8,105.8,101.1,102.3,94.8,98.5,88.9,85.4,86.2,84.9,83.6,83.5,77.9,76.9,73.9,73.3,76.7
GQ,Equatorial Guinea,154.5,150.2,145.9,141.5,137,132.3,127.4,122.6,118,113.5,109.4,105.6,102,98.6,95.3,92.1,89,86.1,83.2,80.7,77.9,75.1,72.8
GW,Guinea-Bissau,174.8,169.3,163.6,157.7,151.6,145.3,139.1,132.8,126.5,120.2,114.3,108.6,103.6,99.1,95.2,91.6,88.2,85.1,82.2,79.5,76.7,74.3,72
XE,Heavily indebted poor countries (HIPC),146.100097583984,142.316579600629,134.415315047831,128.471888328471,123.326110509051,114.699593733073,108.918038437956,104.102383459321,99.6378865309757,98.2895969280399,93.2212751268281,93.139476228705,85.8956616008329,82.2392532979546,80.1013664951844,77.2252196182014,75.0531588355873,74.0985605574824,71.5972927454548,70.6505060809458,68.1463092126609,69.7824667658958,70.9810827482134
