country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.13,0.34,0.86,1.59,3.55,5.68,6.31,8.54,9.90,9.18,8.71,8.91,12.77,16.80,22.42
Africa,0.14,0.21,0.26,0.32,0.32,0.38,0.43,0.53,0.67,0.82,1.09,1.45,1.89,2.47,3.16,3.97,4.99,6.48,8.46,10.80,14.30,17.96,22.55,27.36,32.25,34.93,38.03,42.47,45.61,47.96
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.43,1.59,4.68,10.75,21.38,35.20,46.65,58.78,75.98,88.62,94.27,96.01,96.34,96.15,95.01,95.62,93.69,96.28
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.11,0.26,0.62,1.42,3.13,6.17,11.15,20.03,27.63,32.99,42.51,54.69,61.52,74.20,77.14,79.78,81.98
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.07,0.12,0.19,0.33,0.54,0.89,1.47,2.23,2.59,4.11,6.29,8.66,11.03,12.43,12.53,13.12,20.46,21.97,33.83
Argentina,1.48,1.94,2.50,3.08,3.67,4.23,4.82,5.50,6.24,6.96,7.64,8.33,9.07,10.09,11.57,13.57,15.12,19.43,24.49,29.71,35.16,40.81,46.14,50.37,55.00,58.83,61.69,66.17,70.53,72.99
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.42,1.78,6.26,17.26,36.13,58.47,77.96,87.75,94.52,97.64,98.68,99.01,99.12,99.16,99.14,99.04,99.08,99.09,99.14
Aruba,0.01,0.01,0.02,0.04,0.05,0.08,0.13,0.20,0.31,0.53,0.88,1.55,2.73,4.62,7.53,11.65,18.61,22.73,32.06,39.91,48.31,56.43,62.42,67.61,70.34,70.55,73.57,76.50,76.58,80.44
Asia,0.03,0.29,0.31,0.36,0.50,0.56,0.71,0.80,1.24,1.97,3.58,5.77,7.65,9.34,10.35,12.91,16.47,19.98,24.66,29.82,34.84,41.02,48.50,54.79,58.60,62.00,63.98,68.42,72.75,76.45
Australia,0.09,0.21,0.40,0.72,1.22,2.00,3.14,4.84,7.15,10.15,14.09,19.14,24.94,31.81,40.41,50.22,60.13,69.67,76.26,82.99,88.30,92.99,95.35,96.73,97.57,98.14,98.49,98.75,99.00,99.14
