country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06,0.10,0.17,0.27,0.33,0.45,0.34,1.10,2.89,3.63,3.67,4.04,3.47,5.78,7.61,13.10
Africa,0.01,0.04,0.07,0.10,0.11,0.13,0.15,0.18,0.23,0.30,0.40,0.56,0.76,1.02,1.36,1.79,2.34,3.18,4.31,5.87,8.29,11.25,14.98,19.69,24.98,28.68,32.19,37.30,40.58,43.91
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.43,1.62,5.04,12.37,24.17,35.08,47.92,67.06,84.68,93.27,96.01,96.75,96.82,95.89,96.10,93.68,96.12
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.13,0.34,0.86,2.04,4.24,9.83,15.74,21.81,32.79,45.30,53.57,66.18,73.07,76.86,79.13
Angola,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.04,0.06,0.09,0.12,0.17,0.24,0.34,0.50,0.73,1.22,1.13,1.69,2.39,3.38,5.11,6.45,6.93,7.84,14.18,14.77,26.12
Argentina,1.43,1.86,2.32,2.75,3.12,3.48,3.87,4.39,4.98,5.57,6.16,6.73,7.39,8.50,10.17,12.44,14.21,18.82,24.66,30.56,37.19,43.57,49.01,53.45,58.05,62.26,65.54,70.71,74.73,78.46
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.55,2.12,6.81,17.62,35.54,56.55,75.98,85.91,93.52,97.12,98.63,99.09,99.23,99.35,99.32,99.22,99.24,99.31,99.29
Aruba,0.01,0.02,0.03,0.05,0.08,0.12,0.18,0.27,0.42,0.64,0.99,1.52,2.28,3.39,5.03,7.35,11.97,14.33,21.40,34.77,43.29,51.61,60.82,66.57,71.06,72.15,75.71,79.29,80.55,84.02
Asia,0.03,0.07,0.09,0.12,0.16,0.17,0.22,0.29,0.49,0.94,2.09,4.06,5.83,7.42,7.83,9.60,11.59,13.76,17.52,21.91,26.50,32.10,40.04,47.31,52.00,56.25,59.06,64.67,70.14,74.77
Australia,0.04,0.06,0.12,0.24,0.45,0.83,1.49,2.58,4.30,6.83,10.38,15.08,20.90,28.17,37.14,47.29,57.47,67.37,74.09,81.51,87.47,92.61,95.28,96.83,97.69,98.17,98.57,98.89,99.13,99.32
Australia and New Zealand,0.08,0.09,0.15,0.27,0.47,0.84,1.46,2.45,4.04,6.39,9.65,13.94,19.35,26.30,34.92,44.91,55.17,65.12,72.53,80.18,86.33,91.36,94.44,96.04,97.02,97.61,98.06,98.42,98.62,98.95
Austria,19.99,21.66,23.45,25.31,27.27,29.30,31.39,33.53,35.70,37.85,39.98,42.04,44.00,45.95,48.29,51.08,54.44,55.39,63.61,78.25,83.56,89.29,95.68,97.83,98.34,97.99,97.71,98.50,97.06,99.37
Azerbaijan,0.02,0.03,0.07,0.17,0.35,0.73,1.42,2.65,4.65,7.73,12.06,17.67,24.44,32.13,40.50,49.13,60.39,64.39,73.58,84.48,92.12,96.27,98.09,98.85,99.07,99.19,99.25,99.23,99.25,99.36
Bahamas,0.00,0.01,0.02,0.04,0.10,0.19,0.38,0.70,1.26,2.17,3.63,5.82,8.98,13.33,18.99,26.16,34.59,44.29,52.52,62.70,73.61,84.27,92.09,94.96,95.87,96.61,97.02,98.02,99.14,99.12
