country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.15,0.47,1.40,2.75,6.42,11.01,11.37,14.06,16.23,14.77,13.32,14.17,19.50,25.62,31.41
Africa,0.36,0.44,0.53,0.60,0.58,0.68,0.78,0.94,1.15,1.40,1.83,2.36,3.04,3.91,4.94,6.14,7.63,9.78,12.64,15.78,20.30,24.65,30.16,35.09,39.54,41.19,43.84,47.63,50.61,51.98
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.75,2.69,7.51,16.53,29.19,44.69,56.84,68.36,83.81,92.11,95.16,95.99,95.94,95.46,94.04,95.12,93.73,96.44
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.08,0.20,0.48,1.09,2.46,5.25,10.24,18.01,29.75,38.07,43.53,51.56,63.43,68.94,81.82,80.99,82.55,84.68
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06,0.13,0.22,0.42,0.75,1.32,2.26,3.28,4.12,6.48,9.76,13.44,16.69,18.57,18.42,18.56,26.85,29.29,41.66
Argentina,1.66,2.20,2.88,3.66,4.43,5.14,5.82,6.57,7.38,8.15,8.95,9.74,10.57,11.63,12.97,14.69,16.03,20.05,24.32,28.86,33.12,38.09,43.31,47.37,51.98,55.46,57.97,61.79,66.49,67.75
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.27,1.35,5.51,16.75,36.85,60.34,79.88,89.68,95.67,98.21,98.71,98.92,99.02,98.97,98.95,98.84,98.89,98.83,98.98
Aruba,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.16,0.35,0.76,1.59,3.15,5.85,10.18,16.04,25.84,32.77,43.24,45.35,53.85,61.42,64.01,68.62,69.63,68.98,71.27,73.67,72.74,76.94
Asia,0.03,0.87,0.74,0.79,1.00,1.06,1.28,1.38,2.02,2.97,5.01,7.39,9.38,11.16,12.76,16.05,21.04,25.85,31.36,37.27,42.75,49.51,56.57,61.92,64.88,67.47,68.62,71.95,75.19,77.98
Australia,0.29,0.49,0.85,1.41,2.26,3.45,5.10,7.31,10.13,13.63,17.88,22.93,28.65,35.33,43.65,53.06,62.68,71.80,78.32,84.39,89.09,93.38,95.43,96.63,97.46,98.10,98.41,98.62,98.87,98.97
Australia and New Zealand,0.88,0.81,1.17,1.73,2.66,3.90,5.60,7.76,10.47,13.90,18.08,23.03,28.63,35.16,43.19,52.32,61.63,70.49,77.10,83.12,87.81,91.95,94.31,95.57,96.60,97.33,97.69,97.98,98.25,98.47
Austria,27.81,30.47,33.26,36.16,39.11,42.07,44.98,47.79,50.42,52.80,54.84,56.67,58.40,60.13,62.63,65.85,69.87,72.34,80.80,88.59,93.27,96.34,98.17,98.87,99.00,98.77,98.33,98.00,97.38,97.16
