country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,0.02,0.03,0.04,0.05,0.07,0.10,0.14,0.19,0.27,0.37,0.50,0.70,0.96,1.31,1.81,2.49,3.45,4.70,5.94,7.82,9.85,12.81,15.64,17.38,18.26,19.01,20.68,27.83,32.18,43.73
Africa,0.29,0.41,0.52,0.64,0.66,0.81,0.95,1.19,1.50,1.86,2.40,3.09,3.94,5.04,6.32,7.85,9.64,12.20,15.29,19.43,24.86,30.58,36.69,42.61,48.43,51.92,54.42,58.40,60.64,63.20
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.30,1.16,3.69,10.05,21.93,38.47,59.72,76.37,89.27,94.33,96.52,97.83,98.18,98.19,98.04,97.68,97.16,97.02,95.55,96.86
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.11,0.20,0.43,0.88,1.80,3.56,6.89,12.00,20.05,32.29,43.27,50.12,61.60,71.32,75.98,83.82,86.16,87.70,88.89
Angola,0.01,0.02,0.03,0.03,0.05,0.06,0.10,0.14,0.22,0.32,0.48,0.74,1.13,1.69,2.52,3.70,5.37,7.71,9.88,11.41,15.37,20.57,27.26,33.44,37.15,34.38,33.36,47.00,45.77,66.17
Argentina,9.32,11.24,13.44,15.83,18.44,21.22,24.32,27.62,31.08,34.59,38.13,41.54,44.88,48.21,51.58,55.22,59.17,63.57,68.19,72.23,76.04,80.36,84.05,86.90,89.15,90.82,91.92,91.35,92.58,89.82
Armenia,0.00,0.00,0.01,0.01,0.03,0.07,0.17,0.38,0.90,2.10,5.00,11.38,23.64,42.61,63.88,80.91,91.19,96.65,98.37,99.23,99.60,99.75,99.77,99.76,99.76,99.75,99.75,99.73,99.72,99.69
Aruba,2.46,2.95,4.99,6.16,6.32,7.10,7.74,9.02,10.25,11.83,13.92,16.92,20.80,25.97,31.85,38.76,45.41,52.68,60.94,69.01,74.26,81.10,84.72,88.45,90.25,91.23,93.53,95.80,95.80,97.99
Asia,0.93,2.02,3.02,4.09,5.48,6.54,7.70,8.16,8.67,9.40,10.61,11.98,13.86,16.99,20.32,26.27,33.33,41.78,48.86,55.07,60.62,65.67,69.32,73.40,76.59,77.97,78.29,81.48,84.60,86.59
Australia,5.71,8.72,12.09,16.72,22.28,28.96,36.39,44.77,53.24,61.23,68.83,75.72,81.23,85.66,89.38,92.41,94.70,96.46,97.39,98.35,98.83,98.99,99.11,99.26,99.39,99.54,99.61,99.72,99.73,99.86
Australia and New Zealand,57.05,30.25,28.14,30.31,36.43,42.59,50.09,55.95,61.53,67.46,74.07,79.91,84.44,87.95,91.00,93.43,95.35,96.81,97.54,98.34,98.71,98.87,98.96,99.07,99.21,99.38,99.46,99.60,99.55,99.79
Austria,99.92,99.92,99.93,99.93,99.93,99.93,99.93,99.92,99.93,99.94,99.94,99.94,99.94,99.95,99.95,99.96,99.96,99.95,99.96,99.98,99.99,99.98,100.00,100.00,99.99,100.00,99.99,99.99,99.99,100.00
