country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.08,0.15,0.28,0.53,0.89,1.44,2.20,3.20,4.52,5.85,6.89,7.58,8.32,13.28,16.23,27.73
Africa,0.04,0.10,0.18,0.26,0.29,0.36,0.42,0.52,0.65,0.83,1.06,1.41,1.84,2.40,3.08,3.94,4.97,6.49,8.35,11.26,15.71,20.78,26.44,32.87,39.66,44.39,47.73,52.74,55.29,59.40
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.24,0.90,3.05,8.94,22.03,43.44,65.39,84.34,91.91,95.30,97.37,98.11,98.33,98.39,98.17,97.69,97.30,95.36,96.66
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.09,0.22,0.48,1.06,2.28,4.77,8.51,18.23,27.95,36.01,48.41,59.32,66.52,75.93,82.07,84.93,86.23
Angola,0.02,0.02,0.03,0.04,0.06,0.09,0.11,0.15,0.21,0.28,0.37,0.49,0.64,0.84,1.10,1.43,1.88,2.46,3.35,3.41,4.53,5.90,8.83,14.52,20.36,18.87,18.63,32.51,30.13,55.78
Argentina,10.37,12.68,15.26,18.05,21.01,24.13,27.38,30.77,34.17,37.47,40.62,43.56,46.34,49.14,52.07,55.38,59.10,63.37,68.50,72.88,77.28,81.49,84.89,87.48,89.69,91.59,92.71,92.45,93.84,91.72
Armenia,0.00,0.00,0.01,0.02,0.04,0.10,0.22,0.50,1.13,2.57,5.70,12.17,24.04,41.80,61.92,78.68,89.42,95.82,97.91,99.00,99.50,99.70,99.76,99.79,99.79,99.79,99.79,99.77,99.76,99.74
Aruba,4.87,5.84,6.95,8.15,9.38,10.60,12.01,13.58,15.33,17.36,19.72,22.34,25.12,28.10,31.42,36.13,39.50,45.89,54.08,66.77,71.50,78.36,84.51,88.71,90.42,92.54,94.32,96.69,96.69,98.71
Asia,0.70,1.03,1.80,2.68,3.89,5.05,6.21,6.83,6.97,7.37,7.99,8.70,9.38,11.09,12.47,16.75,22.29,31.40,38.53,45.08,51.40,57.37,62.18,67.45,71.50,73.18,73.62,77.93,81.80,84.83
Australia,3.36,4.84,6.94,9.87,13.84,19.06,25.63,33.51,42.38,51.68,60.79,69.13,76.27,82.22,87.06,90.86,93.69,95.84,96.88,98.10,98.69,98.87,99.03,99.21,99.38,99.50,99.61,99.74,99.74,99.89
Australia and New Zealand,56.62,27.68,23.40,24.39,29.05,33.98,41.12,46.70,52.57,59.53,67.47,74.52,80.44,85.10,89.09,92.15,94.48,96.26,97.11,98.10,98.59,98.74,98.87,99.04,99.20,99.36,99.48,99.64,99.58,99.83
Austria,99.91,99.90,99.92,99.91,99.92,99.92,99.93,99.93,99.93,99.92,99.93,99.94,99.94,99.94,99.93,99.95,99.95,99.94,99.96,99.98,99.98,99.98,100.00,100.00,100.00,100.00,100.00,99.99,99.99,100.00
Azerbaijan,0.33,0.61,1.13,2.04,3.53,5.92,9.48,14.52,21.15,29.27,38.40,47.90,57.14,65.63,73.14,79.51,85.97,88.13,92.53,95.72,97.85,98.94,99.43,99.64,99.72,99.77,99.83,99.88,99.91,99.93
Bahamas,0.15,0.34,0.69,1.27,2.18,3.45,5.22,7.58,10.67,14.61,19.52,25.36,32.09,39.55,47.44,55.58,63.50,71.12,76.67,82.58,88.48,92.70,95.77,97.37,98.09,98.67,98.75,99.17,99.67,99.62
Bahrain,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.08,0.14,0.26,0.44,0.77,1.36,2.37,4.11,7.03,11.72,18.90,28.63,39.53,49.02,56.19,60.65,65.92,73.08,72.46,86.04,78.12,97.05
Bangladesh,0.26,0.32,0.40,0.50,0.62,0.77,0.94,1.15,1.41,1.73,2.12,2.58,3.12,3.77,4.55,5.57,6.85,8.42,10.32,12.57,15.52,19.29,23.26,27.35,31.96,38.19,46.91,59.34,69.02,78.59
Belarus,0.18,0.34,0.65,1.23,2.27,4.11,7.21,12.19,19.54,29.29,40.74,52.43,62.94,64.31,80.92,89.78,92.08,93.78,98.05,99.42,99.76,99.83,99.84,99.81,99.79,99.78,99.83,99.77,99.79,99.92
Belgium,39.55,43.24,47.00,50.80,54.59,58.30,61.91,65.40,68.69,71.79,74.66,77.29,79.69,81.85,83.88,85.81,87.61,90.38,91.07,93.56,95.13,96.58,97.24,97.84,98.32,98.78,99.26,99.92,99.99,99.99
Belize,1.79,2.66,3.83,5.36,7.28,9.58,12.35,15.62,19.43,23.76,28.50,33.49,38.37,42.88,46.87,50.23,51.90,54.96,56.81,60.34,63.36,66.58,67.90,68.53,71.67,73.11,75.47,79.10,83.20,84.39
Benin,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.06,0.13,0.21,0.36,0.61,1.03,1.75,2.84,4.67,5.82,7.59,9.13,9.99,14.54,16.45,15.14,14.97,24.52,30.20,49.53
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.11,0.20,0.32,0.71,0.84,1.26,2.51,3.94,6.29,10.12,13.31,23.92,36.61,56.03,66.88
Bolivia (Plurinational State of),0.71,0.93,1.19,1.52,1.86,2.26,2.72,3.27,3.96,4.82,5.86,7.16,8.67,10.41,12.56,21.47,20.67,23.42,27.08,30.68,35.00,41.42,48.64,55.58,62.51,69.03,76.41,85.05,90.56,94.85
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.17,0.46,1.10,2.51,5.32,10.45,18.87,30.92,47.44,59.56,74.97,87.43,92.96,95.93,98.04,98.95,99.17,99.21,99.20,99.34,99.11
Botswana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.09,0.21,0.47,0.99,2.09,4.25,9.57,15.25,25.82,37.16,48.37,63.18,77.51,85.86,90.81,92.45,93.94,95.04
Brazil,2.80,3.54,4.45,5.56,6.89,8.48,10.33,12.44,14.83,17.43,20.12,22.73,25.26,27.73,29.75,33.41,36.03,37.89,41.06,45.53,53.05,61.15,68.45,73.85,77.55,81.87,86.21,90.05,93.72,94.72
Bulgaria,0.38,0.74,1.46,2.75,5.00,8.68,14.25,21.95,31.59,42.47,53.56,63.86,72.71,79.81,85.19,89.01,91.76,93.64,94.97,96.50,97.62,98.18,98.29,98.32,98.32,98.20,97.72,97.46,96.60,96.78
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.06,0.11,0.17,0.27,0.41,0.69,1.19,2.07,3.28,4.55,5.81,7.24,9.10,10.86,11.74,10.72,15.67
Burundi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.06,0.13,0.24,0.44,0.82,1.50,2.67,6.89,6.84,8.48,13.86,21.28,30.74,33.06,31.56,35.58
Cambodia,0.00,0.01,0.01,0.02,0.02,0.05,0.06,0.09,0.16,0.23,0.35,0.53,0.78,1.15,1.73,2.64,3.94,4.76,7.06,12.28,18.35,23.17,22.39,19.89,40.34,55.64,58.58,51.75,57.16,63.55
Cameroon,0.15,0.20,0.28,0.36,0.48,0.62,0.81,1.04,1.35,1.75,2.28,2.93,3.77,4.84,6.20,7.94,10.28,13.06,16.29,22.43,34.25,41.97,52.49,50.55,57.76,59.43,63.45,66.00,71.29,74.00
Canada,89.62,89.77,89.94,90.11,90.26,90.40,90.53,90.65,90.75,90.80,90.81,90.79,90.76,90.88,91.35,92.14,93.17,93.40,94.61,96.05,97.33,98.10,98.42,98.74,99.00,99.23,99.27,99.40,99.91,99.60
Cape Verde,0.08,0.10,0.14,0.18,0.23,0.30,0.38,0.49,0.64,0.83,1.05,1.35,1.71,2.18,2.75,3.44,4.31,5.48,7.27,10.58,14.90,16.51,21.40,28.07,32.39,44.95,50.77,70.63,79.22,85.45
Caribbean,0.82,3.70,4.16,4.79,5.47,6.51,7.90,9.53,11.44,13.30,15.87,19.38,22.86,27.14,31.38,36.19,40.51,43.55,48.72,54.93,61.13,66.25,70.46,76.87,80.12,81.42,82.53,83.84,83.68,84.59
Central African Republic,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.05,0.07,0.10,0.15,0.20,0.30,0.43,0.63,0.92,1.34,1.96,2.83,4.05,5.73,7.91,13.91,14.95,14.26,17.79,18.87,19.45,23.61,29.27
Central America,3.17,2.00,1.19,1.14,1.57,1.93,2.09,2.32,2.58,3.03,3.52,4.20,5.39,7.22,9.96,13.36,18.01,23.83,30.83,38.83,46.93,54.33,63.42,70.43,76.55,80.66,82.54,85.30,88.61,91.03
Central Asia,2.22,3.52,5.51,8.21,11.92,15.61,20.54,25.33,30.96,36.82,42.10,49.36,56.28,63.39,65.73,74.39,79.97,84.09,90.22,94.35,97.76,99.02,99.40,99.54,99.56,99.57,99.50,99.48,99.49,98.94
Chad,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.08,0.10,0.13,0.17,0.23,0.32,0.44,0.60,0.81,1.12,1.54,2.09,2.80,3.83,4.75,4.76,7.45,10.45,15.56,20.38,29.01
Chile,4.68,6.18,8.05,10.32,13.01,16.04,19.42,23.08,26.91,30.76,34.42,37.79,40.79,43.50,45.61,48.43,51.62,54.86,58.53,64.86,72.19,80.28,87.56,90.68,93.16,95.60,96.80,97.55,98.06,98.46
China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.54,2.17,6.48,15.34,35.20,47.99,59.86,66.77,72.59,80.38,87.97,90.50,91.80,92.60,95.00,97.53,97.77
Colombia,3.49,4.28,5.22,6.31,7.57,9.02,10.68,12.58,14.70,17.05,19.59,22.31,25.18,28.24,31.48,34.91,38.46,37.33,40.75,46.71,54.78,62.98,70.58,76.41,79.52,82.11,85.73,89.48,91.29,93.01
Comoros,0.00,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.04,0.05,0.06,0.10,0.11,0.14,0.19,0.27,0.39,0.65,1.08,1.86,1.76,5.45,12.52,21.68,30.30,37.28,45.17,56.30,64.86,73.29
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.10,0.21,0.45,0.89,1.74,3.32,6.07,10.63,15.91,27.03,32.53,42.14,64.73,76.24,74.12,76.00,77.60,78.89,80.30
Costa Rica,12.82,13.96,15.15,16.34,17.51,18.65,19.76,20.90,21.99,23.18,24.49,26.00,27.54,29.32,31.66,34.67,37.49,42.17,47.55,55.02,64.49,74.44,82.04,86.11,86.44,85.62,86.59,89.95,92.36,94.36
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.07,0.14,0.24,0.41,0.73,1.49,1.82,4.82,10.24,14.38,19.44,25.86,26.93,25.80,29.68,32.50,37.58
Croatia,26.39,29.91,33.67,37.61,41.68,45.82,49.96,54.05,58.01,61.78,65.29,68.51,71.40,73.92,74.93,79.44,79.62,78.63,87.71,94.48,97.71,98.63,98.90,99.22,99.42,99.47,99.47,99.50,99.48,99.55
Cuba,5.23,6.35,7.62,8.96,10.31,11.68,13.12,14.75,16.59,18.95,22.32,26.26,30.59,35.56,41.20,47.75,53.34,58.96,66.76,74.19,83.40,89.86,93.25,96.73,97.75,97.96,98.42,98.73,99.01,99.13
Curaçao,0.58,1.03,1.74,2.86,4.52,6.82,9.96,14.05,19.15,25.18,31.93,39.17,46.57,53.94,61.17,68.03,73.38,78.99,83.08,89.18,92.06,94.75,95.88,96.64,97.92,98.71,99.24,99.15,99.69,98.78
Cyprus,17.67,19.18,20.78,22.44,24.16,25.95,27.78,29.72,31.74,33.88,36.06,38.27,40.50,42.84,45.79,48.79,51.50,58.82,71.09,82.74,92.52,97.63,98.86,99.17,99.23,99.23,99.31,99.49,99.58,99.74
Czech Republic,94.84,95.35,95.82,96.25,96.62,96.96,97.27,97.54,97.78,98.00,98.21,98.38,98.54,98.67,98.81,98.92,98.90,99.02,99.32,99.49,99.53,99.41,99.43,99.54,99.58,99.63,99.59,99.62,99.59,99.69
Democratic People's Republic of Korea,0.00,0.00,0.00,0.01,0.03,0.07,0.16,0.39,0.94,2.25,5.25,11.71,24.10,43.18,64.64,81.57,82.47,94.84,97.37,99.33,99.89,99.97,99.99,99.98,99.98,99.98,99.99,99.99,99.97,99.98
Democratic Republic of the Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.08,0.15,0.27,0.51,0.92,1.65,2.90,5.48,6.92,14.05,22.15,28.01,35.56,41.89,51.88,52.95,58.16,54.89,66.38
Denmark,99.79,99.79,99.80,99.79,99.80,99.80,99.80,99.80,99.81,99.80,99.80,99.80,99.80,99.80,99.79,99.79,99.81,99.81,99.81,99.81,99.77,99.74,99.71,99.71,99.68,99.71,99.77,99.96,99.98,100.00
Dominican Republic,1.03,1.33,1.71,2.17,2.73,3.36,4.11,4.96,5.95,6.93,7.81,8.72,9.73,11.06,13.47,16.43,17.27,19.17,22.54,28.94,36.05,45.00,55.57,65.27,71.86,75.62,79.22,83.37,87.72,89.54
Eastern Africa,0.09,0.14,0.21,0.29,0.37,0.47,0.57,0.67,0.81,0.97,1.16,1.39,1.69,2.07,2.60,3.36,4.02,5.01,6.33,8.26,11.39,15.71,21.05,27.18,33.19,38.17,41.79,45.75,48.30,51.17
Eastern Asia,1.79,2.17,2.69,3.65,5.37,7.42,9.37,9.70,10.33,10.73,11.93,12.12,12.72,14.74,16.41,21.73,30.19,46.35,57.18,67.75,72.96,76.37,83.21,89.61,91.63,92.88,93.68,95.64,97.78,98.03
