country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,0.03,0.05,0.07,0.09,0.13,0.18,0.25,0.34,0.47,0.65,0.90,1.25,1.72,2.37,3.26,4.47,6.14,8.41,10.53,13.72,17.48,22.15,26.49,29.01,29.77,30.27,32.63,41.84,47.48,59.17
Africa,0.73,0.85,0.99,1.13,1.12,1.36,1.60,1.96,2.43,3.00,3.83,4.81,6.07,7.66,9.52,11.75,14.30,17.90,22.27,27.67,33.99,40.36,47.00,52.43,57.22,59.46,61.07,64.04,65.96,66.97
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.13,0.55,2.07,6.50,16.70,33.96,55.10,73.81,85.82,93.62,96.46,97.59,98.25,98.23,98.04,97.69,97.17,96.58,96.71,95.75,97.06
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.09,0.18,0.38,0.77,1.55,3.06,5.97,11.18,19.13,31.51,45.69,56.73,63.41,73.88,82.48,84.81,91.33,90.04,90.32,91.40
Angola,0.00,0.01,0.01,0.02,0.03,0.05,0.08,0.13,0.23,0.38,0.62,1.01,1.65,2.60,4.07,6.19,9.17,13.18,16.66,19.73,26.00,33.69,43.93,51.47,54.39,50.69,48.52,61.75,61.65,76.72
Argentina,5.63,7.35,9.47,11.98,14.77,17.79,21.05,24.58,28.32,32.12,35.97,39.78,43.54,47.31,51.11,55.05,59.24,63.78,67.88,71.59,74.78,79.25,83.22,86.36,88.60,90.06,91.16,90.29,91.35,87.99
Armenia,0.00,0.00,0.00,0.01,0.01,0.04,0.10,0.26,0.66,1.70,4.29,10.41,23.14,43.76,66.65,83.66,92.91,97.46,98.87,99.51,99.73,99.77,99.78,99.75,99.72,99.72,99.69,99.67,99.66,99.63
Aruba,0.03,0.05,0.10,0.18,0.32,0.56,0.96,1.63,2.73,4.47,7.16,11.14,16.66,23.76,32.30,41.44,51.84,60.80,68.13,71.36,77.30,83.94,84.91,88.18,90.08,89.95,92.69,94.90,94.94,97.30
Asia,1.91,4.56,5.54,6.58,7.82,8.46,9.46,9.65,10.44,11.37,13.12,15.08,18.13,22.58,27.81,35.31,43.67,51.56,58.56,64.49,69.36,73.56,76.13,79.07,81.43,82.52,82.70,84.82,87.22,88.19
Australia,11.86,15.78,20.71,26.67,33.58,41.19,49.17,57.10,64.57,71.26,77.04,81.87,85.79,88.98,91.68,93.91,95.68,97.05,97.88,98.58,98.95,99.12,99.20,99.30,99.42,99.57,99.61,99.70,99.70,99.84
Australia and New Zealand,58.25,34.98,35.94,38.84,46.13,53.01,60.52,65.98,70.85,75.82,80.84,84.94,88.15,90.71,92.91,94.70,96.18,97.31,97.98,98.56,98.83,98.98,99.03,99.10,99.23,99.38,99.44,99.57,99.55,99.76
Austria,99.92,99.93,99.93,99.93,99.93,99.94,99.94,99.94,99.94,99.95,99.95,99.96,99.95,99.96,99.95,99.96,99.97,99.97,99.98,99.98,99.99,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00,99.99
Azerbaijan,0.07,0.16,0.37,0.82,1.75,3.56,6.79,12.10,19.91,30.11,41.85,53.90,65.00,74.39,81.83,87.45,92.45,93.97,96.84,98.50,99.27,99.60,99.76,99.83,99.84,99.84,99.87,99.90,99.93,99.93
Bahamas,0.23,0.39,0.67,1.14,1.85,2.96,4.59,6.93,10.16,14.43,19.81,26.26,33.56,41.45,49.66,58.05,66.04,73.50,79.01,84.32,88.62,91.32,94.52,96.84,97.66,98.07,98.39,98.91,99.31,99.44
Bahrain,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.08,0.17,0.34,0.70,1.44,2.84,5.46,9.96,17.05,26.92,38.56,49.91,58.86,64.37,67.70,65.08,63.11,60.28,66.87,75.93,86.09,74.94,95.81
Bangladesh,3.59,4.24,4.96,5.77,6.66,7.59,8.59,9.68,10.91,12.30,13.82,15.41,17.13,19.01,21.03,23.36,26.07,29.05,33.67,36.05,37.74,40.03,42.21,44.37,46.50,50.26,56.00,62.59,68.89,72.97
Belarus,0.10,0.26,0.65,1.56,3.59,7.75,15.24,26.74,41.21,56.06,68.77,78.33,84.96,89.54,92.87,95.05,96.48,97.83,98.96,99.52,99.73,99.80,99.78,99.76,99.72,99.72,99.79,99.71,99.73,99.93
Belgium,31.57,35.53,39.68,44.00,48.38,52.77,57.09,61.29,65.27,69.01,72.44,75.54,78.34,80.82,83.13,85.31,87.40,89.60,90.40,92.79,94.57,96.15,96.90,97.69,98.34,98.81,99.26,99.91,99.98,100.00
Belize,1.04,1.42,1.96,2.67,3.61,4.80,6.30,8.19,10.54,13.45,16.91,21.00,25.60,30.51,35.65,40.52,46.77,50.31,54.25,61.08,66.06,67.78,69.42,70.35,73.62,75.62,77.86,79.21,82.29,80.83
Benin,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.07,0.11,0.19,0.34,0.59,0.97,1.58,2.52,3.93,6.02,8.83,12.08,17.89,19.91,23.79,27.00,33.69,37.89,33.62,36.57,46.46,57.88,64.39
Bhutan,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.05,0.08,0.13,0.20,0.32,0.50,0.78,1.23,1.93,3.17,4.13,8.34,13.90,17.11,21.89,28.08,30.58,40.82,44.59,62.72,69.49
Bolivia (Plurinational State of),0.61,0.86,1.23,1.69,2.33,3.11,4.11,5.38,6.97,8.95,11.38,14.22,17.38,20.77,24.35,32.75,31.93,34.27,38.91,45.29,52.11,59.70,67.13,72.55,76.86,80.89,85.54,90.34,93.64,96.08
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.19,0.72,2.51,7.47,18.10,34.94,54.53,71.80,83.86,91.51,95.53,97.83,98.60,98.88,99.17,99.28,99.33,99.29,99.27,99.34,99.09
Botswana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.08,0.16,0.34,0.67,1.32,2.52,4.67,8.20,13.23,21.09,30.48,39.84,48.09,58.65,70.83,80.41,85.59,88.07,90.24,91.43
Brazil,6.30,7.32,8.46,9.73,11.09,12.55,14.10,15.71,17.39,19.12,20.82,22.46,24.11,25.90,26.88,29.88,33.63,37.01,41.03,45.96,53.13,60.69,66.70,70.62,73.16,76.90,81.56,86.13,90.62,92.26
Bulgaria,8.08,12.27,17.87,24.84,32.91,41.65,50.49,58.92,66.58,73.23,78.80,83.37,87.06,89.96,92.24,93.97,95.35,96.36,97.39,98.17,98.67,98.88,98.80,98.77,98.75,98.60,98.09,97.88,97.21,97.30
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.05,0.09,0.14,0.23,0.40,0.65,1.21,1.90,2.99,4.59,6.89,9.52,11.84,14.04,16.77,19.82,20.54,19.58,15.43,19.43
Burundi,0.08,0.12,0.19,0.29,0.43,0.63,0.90,1.26,1.71,2.29,3.02,3.86,4.87,6.00,7.29,8.71,10.31,12.03,13.84,15.60,17.09,18.00,18.81,18.02,23.59,35.03,43.30,43.63,46.20,39.94
Cambodia,0.02,0.03,0.05,0.10,0.16,0.28,0.44,0.72,1.16,1.84,2.89,4.40,6.51,9.37,13.16,18.01,23.50,25.93,33.57,41.28,45.73,45.54,40.47,38.71,62.56,70.99,70.54,64.86,64.39,65.52
Cameroon,0.69,0.92,1.21,1.59,2.07,2.66,3.41,4.34,5.46,6.83,8.44,10.37,12.63,15.25,18.25,21.66,25.86,28.77,38.18,46.58,57.11,62.81,68.99,65.14,70.10,71.71,74.53,74.84,78.56,81.42
Canada,73.03,74.90,76.70,78.39,79.99,81.49,82.88,84.14,85.27,86.26,87.15,87.95,88.70,89.51,90.57,91.91,93.41,93.14,95.84,97.17,97.99,98.37,98.50,98.72,98.85,99.06,99.06,99.22,99.85,99.43
Cape Verde,0.44,0.56,0.72,0.91,1.16,1.47,1.85,2.33,2.90,3.60,4.44,5.46,6.61,8.00,9.56,11.35,13.42,16.10,19.75,25.56,32.35,33.93,35.16,37.65,38.98,49.05,49.86,67.60,75.98,82.71
Caribbean,1.09,4.58,5.50,6.63,7.74,9.01,10.55,12.37,14.26,16.42,19.10,22.56,26.11,30.49,34.86,38.95,44.66,49.14,54.41,60.67,64.93,68.98,72.20,77.85,80.33,80.61,81.86,82.16,80.97,81.48
Central African Republic,1.01,1.24,1.53,1.89,2.32,2.82,3.39,4.09,4.90,5.83,6.95,8.27,9.79,11.59,13.64,15.90,18.53,21.36,24.36,27.43,30.51,33.48,39.28,40.36,42.13,43.20,44.54,44.20,47.08,46.44
Central America,2.57,1.30,1.01,1.03,1.21,1.51,1.84,2.06,2.30,2.71,3.04,3.56,4.56,6.25,8.74,12.39,17.35,24.06,32.42,41.77,51.44,60.02,68.20,74.40,78.89,81.58,82.60,85.33,88.15,90.24
Central Asia,1.36,2.63,4.68,7.87,12.80,17.43,23.23,28.94,35.42,41.50,46.90,53.81,63.11,70.43,74.99,81.21,85.63,89.18,93.19,95.30,98.14,99.01,99.31,99.42,99.42,99.42,99.35,99.35,99.34,98.75
Chad,0.17,0.24,0.33,0.45,0.59,0.77,1.00,1.27,1.60,2.00,2.49,3.07,3.77,4.59,5.56,6.68,8.00,9.51,11.22,13.05,15.00,16.61,18.19,21.08,24.58,29.85,33.75,40.78,48.22,51.76
Chile,7.02,8.65,10.58,12.81,15.31,18.01,20.95,24.07,27.29,30.53,33.61,36.46,39.01,41.45,43.53,45.40,48.90,54.18,59.29,66.52,74.66,82.75,88.60,90.65,92.86,95.03,96.13,96.90,97.45,97.92
China,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.13,0.31,0.75,1.70,3.69,7.44,13.76,22.96,34.37,47.11,60.63,70.05,78.95,82.92,86.35,90.60,94.25,94.70,95.29,95.78,96.74,98.11,98.06
Colombia,3.29,4.08,4.99,6.08,7.35,8.79,10.45,12.32,14.40,16.71,19.21,21.91,24.78,27.78,30.98,34.41,38.03,36.66,41.63,48.22,55.52,62.88,69.32,73.80,76.07,78.87,81.99,86.39,87.28,89.17
Comoros,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.14,0.20,0.28,0.41,0.60,0.87,1.26,1.89,2.90,4.61,8.82,10.46,14.94,24.28,38.78,46.70,50.58,55.21,60.52,65.95,67.54,74.71
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.11,0.27,0.63,1.43,3.11,6.31,11.86,20.10,31.82,41.48,55.34,72.03,83.22,86.64,87.20,86.78,85.49,84.43,82.62,82.22
Costa Rica,1.50,1.96,2.55,3.29,4.17,5.22,6.47,7.92,9.61,11.63,13.99,16.77,19.88,23.39,27.49,32.10,37.54,42.07,49.67,58.79,68.57,77.13,82.87,85.51,85.50,84.63,85.46,88.64,90.88,92.97
