country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.03,0.11,0.24,0.57,0.93,0.84,1.60,1.72,1.49,1.57,1.61,2.24,3.85,3.75,5.13,6.30
Africa,0.56,0.78,1.06,1.38,1.90,2.40,2.97,3.39,3.65,3.90,4.46,5.64,7.52,7.18,7.00,7.72
Albania,2.01,3.70,4.49,6.22,9.34,9.88,8.25,7.90,10.15,11.40,13.47,16.63,27.82,23.19,25.47,27.36
Algeria,0.18,0.45,0.84,2.19,3.57,4.08,4.25,4.84,6.31,8.96,12.48,15.82,20.27,28.01,29.16,33.37
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.19,0.01,0.01,0.08
Antigua and Barbuda,,,,,,,,,,,,,,,21.22,22.25
Argentina,2.96,3.86,5.11,6.98,8.82,10.51,12.24,14.35,15.85,16.50,16.91,18.40,19.57,21.56,46.84,50.82
Armenia,6.29,10.34,12.13,17.26,20.84,19.17,17.43,16.99,18.67,20.59,21.33,23.53,30.59,30.99,30.12,31.36
Aruba,1.51,1.38,2.47,3.33,3.98,4.54,5.02,6.18,6.73,7.23,7.64,8.01,7.44,8.31,9.34,10.57
Asia,1.38,2.01,2.85,3.32,3.97,4.62,5.51,6.43,7.08,8.44,10.36,13.52,17.36,21.37,22.29,25.19
Australia,4.26,6.19,8.04,10.42,12.70,15.39,16.75,17.18,18.70,21.08,22.73,24.04,33.00,28.43,55.90,60.07
Australia and New Zealand,4.31,6.32,8.36,10.94,13.42,16.87,18.33,18.82,20.14,22.49,24.14,25.43,35.43,29.58,29.20,31.38
Austria,5.42,6.31,7.96,10.17,11.18,13.12,15.37,16.89,18.94,21.46,24.00,25.50,36.32,30.55,61.26,66.25
Azerbaijan,3.29,3.40,4.52,6.23,8.65,8.41,7.55,6.55,5.78,6.00,7.04,20.41,9.86,12.26,11.92,12.93
Bahamas,5.33,7.89,10.96,14.09,18.08,21.54,21.07,21.03,22.49,23.11,22.23,24.05,25.84,29.66,29.14,30.47
Bahrain,2.02,3.00,4.14,5.21,5.99,7.19,6.20,5.46,6.21,10.73,7.66,10.31,10.57,15.21,32.45,34.72
Bangladesh,0.27,0.39,0.59,0.77,0.84,0.93,0.97,1.22,1.53,1.77,2.05,2.43,3.42,3.24,3.97,4.86
Barbados,,,,,,,,,,,,,,,21.20,22.48
Belarus,2.54,3.62,5.17,6.27,8.32,7.99,7.96,8.19,8.64,9.70,10.61,34.07,12.79,14.62,14.17,15.25
Belgium,2.14,4.26,6.17,8.66,10.19,11.20,12.31,13.82,15.42,17.26,18.51,19.73,29.59,23.54,47.68,50.89
Belize,1.94,2.54,4.59,5.73,8.19,7.70,8.48,8.97,11.18,12.03,12.82,14.40,15.25,17.66,39.57,44.46
Benin,0.11,0.21,0.36,0.54,0.63,0.77,0.75,0.87,0.80,0.73,1.12,1.70,3.12,2.96,3.71,4.29
Bhutan,0.10,0.18,0.38,0.47,0.97,1.68,2.12,2.77,3.11,3.64,5.51,6.46,10.07,12.49,15.05,17.34
Bolivia (Plurinational State of),3.20,3.33,4.02,5.40,6.79,8.16,9.03,9.17,9.88,11.41,13.39,15.33,20.91,18.44,39.80,43.35
Bosnia and Herzegovina,2.01,3.12,3.95,5.09,6.23,6.29,6.70,6.01,5.23,6.70,9.54,10.97,23.70,14.40,27.78,29.89
Botswana,0.41,0.82,1.43,2.88,3.99,5.56,7.75,9.78,12.28,13.07,13.09,15.83,17.97,19.11,42.12,46.50
Brazil,0.74,1.03,1.46,2.07,2.86,3.46,3.82,4.03,4.03,4.29,4.76,5.42,5.81,6.82,14.83,16.42
Brunei Darussalam,,,,,,,,,,,,,,,8.51,9.73
Bulgaria,2.03,3.35,4.52,5.81,6.34,7.66,8.37,8.26,8.94,9.67,10.52,10.98,20.09,12.37,25.01,26.68
Burkina Faso,0.01,0.02,0.04,0.08,0.13,0.19,0.24,0.31,0.31,0.28,0.27,0.28,0.14,0.20,0.28,0.40
Burundi,0.00,0.01,0.01,0.02,0.04,0.09,0.14,0.17,0.21,0.29,0.38,0.45,0.49,0.59,0.79,0.99
Cambodia,0.10,0.17,0.34,0.53,0.86,0.95,0.87,0.93,1.87,2.21,2.71,3.88,4.02,4.09,4.81,6.00
Cameroon,0.13,0.17,0.22,0.32,0.58,0.80,0.94,1.01,1.75,1.94,2.47,3.04,3.73,4.29,5.06,5.71
Canada,20.10,21.07,25.12,30.20,34.10,35.87,36.98,39.83,43.06,45.03,45.11,46.07,53.56,47.95,96.87,98.96
Cape Verde,0.06,0.13,0.28,0.79,1.27,1.33,1.25,1.16,1.10,1.64,1.76,2.63,3.37,3.72,4.26,4.80
Caribbean,1.87,2.52,3.13,4.34,5.82,7.41,8.41,8.91,9.06,9.60,10.42,11.65,14.45,13.89,14.58,15.03
Central African Republic,0.37,0.43,0.49,0.55,0.60,0.65,0.62,0.63,0.58,0.72,0.91,0.97,0.98,2.12,1.18,1.36
Central America,0.72,1.13,1.77,2.60,3.60,4.62,5.84,6.53,6.52,6.82,7.43,8.54,9.42,10.71,11.27,12.18
Central Asia,4.34,5.82,8.05,10.31,13.69,13.63,13.78,14.00,14.06,14.06,14.35,26.15,16.90,17.94,18.48,19.40
Chad,0.02,0.03,0.06,0.10,0.17,0.25,0.38,0.56,0.48,0.59,0.81,0.96,2.98,1.13,1.30,1.62
Chile,1.87,2.48,3.26,4.44,6.24,7.69,8.18,8.95,10.77,13.74,16.77,19.49,20.95,37.60,47.39,49.59
China,0.67,1.69,2.55,2.54,2.42,2.79,3.76,5.20,5.99,8.13,11.66,17.54,24.05,36.37,72.22,84.79
Colombia,2.22,2.71,3.81,5.61,7.70,9.52,10.48,10.91,11.29,12.69,14.98,16.17,18.62,21.23,45.52,48.03
Comoros,0.05,0.09,0.31,0.31,0.34,0.95,1.72,1.91,2.68,3.17,4.18,5.21,11.31,6.49,7.85,8.56
Congo,0.19,0.44,0.94,2.02,3.53,5.52,6.52,5.90,4.43,4.78,4.22,4.44,6.28,4.75,5.67,6.61
Costa Rica,4.42,5.31,6.30,7.51,9.00,10.59,11.14,11.41,11.22,12.20,13.98,15.68,20.59,18.85,20.64,22.37
Cote d'Ivoire,0.01,0.02,0.04,0.05,0.14,0.28,0.48,0.53,0.60,0.83,1.26,1.56,2.89,2.05,2.64,3.12
