country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.00,0.01,0.01,0.03,0.03,0.03,0.76,0.96,1.16,1.39,0.89,1.32,2.19,2.27,3.55,4.81
Africa,0.21,0.34,0.52,0.72,1.06,1.43,1.91,2.39,2.81,3.24,3.95,5.27,7.05,6.97,6.90,7.61
Albania,0.80,1.68,2.00,3.24,6.39,8.27,7.29,7.90,10.92,13.26,16.05,20.50,34.80,30.15,32.93,35.65
Algeria,0.06,0.13,0.28,0.44,1.00,1.72,2.41,3.50,5.07,7.96,12.46,17.26,22.21,30.29,31.35,35.55
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.07
Antigua and Barbuda,,,,,,,,,,,,,,,17.49,19.36
Argentina,3.11,4.21,5.67,7.70,10.08,12.32,14.51,17.36,19.26,19.91,20.13,21.78,22.72,25.71,49.15,54.21
Armenia,5.99,9.98,11.17,17.25,21.42,19.84,18.22,18.19,20.92,22.99,23.70,26.42,34.32,35.94,34.87,36.54
Aruba,0.93,0.88,1.69,2.80,3.00,3.83,4.58,6.01,7.12,7.82,8.70,9.38,9.11,10.40,11.71,12.96
Asia,0.69,1.00,1.59,2.03,2.68,3.29,4.21,5.13,5.98,7.60,9.87,13.40,17.59,22.02,23.00,25.99
Australia,4.54,6.66,8.87,11.57,14.27,17.88,20.08,20.71,22.59,25.79,27.99,29.26,39.11,33.78,66.49,71.04
Australia and New Zealand,4.36,6.48,8.80,11.64,14.52,18.63,20.94,21.60,23.35,26.56,28.90,30.14,40.87,34.47,34.02,36.47
Austria,3.88,4.69,5.75,7.87,9.75,12.78,15.94,18.03,20.72,24.42,28.67,30.66,42.23,37.29,74.64,80.58
Azerbaijan,2.13,2.19,2.65,4.06,6.54,6.55,6.25,5.69,5.36,5.64,6.69,18.36,9.56,12.27,11.85,13.02
Bahamas,3.71,6.62,10.61,13.96,18.80,23.96,23.81,24.81,27.12,28.13,27.56,29.30,31.08,35.42,34.68,36.47
Bahrain,0.66,1.18,2.03,3.26,4.69,6.39,6.70,6.27,7.35,12.11,9.29,12.65,12.86,18.43,33.83,36.99
Bangladesh,0.01,0.03,0.05,0.09,0.16,0.23,0.26,0.34,0.52,0.78,1.13,1.56,2.51,2.46,3.08,3.80
Barbados,,,,,,,,,,,,,,,17.49,19.10
Belarus,2.32,3.49,4.70,6.46,9.03,8.85,9.36,9.91,10.69,11.96,13.17,41.06,16.09,18.45,17.84,19.28
Belgium,1.67,5.10,6.83,9.17,10.23,10.77,11.45,12.44,13.58,14.96,15.71,16.94,25.78,20.88,42.33,45.72
Belize,1.07,1.83,3.88,4.49,8.15,7.61,8.95,9.49,12.40,13.62,15.17,17.22,18.06,21.91,49.16,55.39
