country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.06,0.21,0.46,1.06,1.82,1.62,2.42,2.49,1.83,1.76,2.30,3.12,5.44,5.18,6.65,7.73
Africa,0.90,1.21,1.60,2.05,2.73,3.36,4.03,4.40,4.49,4.57,4.97,6.02,7.99,7.39,7.09,7.82
Albania,3.06,5.45,6.69,8.85,11.93,11.31,9.12,7.89,9.41,9.48,10.63,12.66,21.47,16.54,17.99,19.41
Algeria,0.29,0.75,1.39,3.93,6.02,6.15,5.98,6.09,7.46,9.89,12.50,14.45,18.42,25.86,27.08,31.28
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.02,0.03,0.09
Antigua and Barbuda,,,,,,,,,,,,,,,24.88,25.10
Argentina,2.81,3.52,4.54,6.25,7.56,8.73,10.00,11.41,12.49,13.15,13.81,15.13,16.54,17.58,44.64,47.58
Armenia,6.58,10.68,13.14,17.28,20.21,18.42,16.60,15.77,16.38,18.08,18.77,20.34,26.47,25.67,25.29,26.38
Aruba,2.15,1.98,3.29,3.89,5.06,5.27,5.46,6.34,6.35,6.65,6.50,6.63,5.82,6.26,7.11,8.30
Asia,2.02,2.96,4.04,4.54,5.19,5.89,6.76,7.67,8.13,9.24,10.82,13.63,17.15,20.76,21.64,24.45
Australia,4.00,5.76,7.27,9.32,11.21,12.97,13.52,13.78,14.91,16.50,17.62,19.01,27.23,23.30,45.81,49.57
Australia and New Zealand,4.26,6.17,7.95,10.28,12.37,15.16,15.81,16.14,17.01,18.50,19.49,20.88,30.25,24.89,24.63,26.52
Austria,7.06,7.88,10.08,12.39,12.55,13.46,14.81,15.77,17.23,18.52,19.44,20.45,30.55,24.10,48.60,52.65
Azerbaijan,4.50,4.64,6.54,8.48,10.75,10.25,8.86,7.41,6.22,6.38,7.42,22.49,10.17,12.24,11.98,12.85
Bahamas,7.28,9.47,11.33,14.22,17.35,19.08,18.35,17.33,17.85,18.03,16.80,18.64,20.54,23.75,23.37,24.28
Bahrain,3.02,4.37,5.64,6.53,6.93,7.66,5.91,4.91,5.37,9.75,6.58,8.83,9.06,13.02,31.50,32.82
Bangladesh,0.52,0.72,1.08,1.40,1.48,1.61,1.71,2.11,2.50,2.74,2.98,3.30,4.33,4.00,4.85,5.90
Barbados,,,,,,,,,,,,,,,24.88,25.79
Belarus,2.80,3.77,5.70,6.07,7.62,7.17,6.61,6.52,6.52,7.41,8.08,27.25,9.61,10.85,10.61,11.35
Belgium,2.60,3.42,5.51,8.18,10.15,11.60,13.13,15.13,17.18,19.49,21.25,22.48,33.36,26.14,52.80,55.84
Belize,2.84,3.32,5.35,6.99,8.24,7.80,8.02,8.46,9.95,10.44,10.43,11.47,12.34,13.45,30.19,33.77
Benin,0.12,0.21,0.33,0.59,0.61,0.93,1.08,1.29,1.03,1.00,1.73,2.50,4.70,4.22,5.06,5.98
Bhutan,0.13,0.26,0.53,0.70,1.55,2.68,3.31,4.22,4.51,5.13,6.90,6.85,10.13,12.02,13.99,15.68
Bolivia (Plurinational State of),4.26,4.25,4.97,6.51,7.89,9.04,9.68,9.52,9.83,11.04,12.60,13.89,18.91,15.85,34.24,36.80
Bosnia and Herzegovina,3.34,4.84,5.94,7.14,7.92,7.69,7.79,6.25,4.99,5.97,7.67,8.54,18.05,10.79,21.46,22.99
Botswana,0.51,1.01,1.58,3.65,4.76,5.89,7.52,9.86,12.28,12.64,12.32,14.32,17.30,17.04,37.87,41.41
Brazil,0.77,1.04,1.48,2.02,2.62,2.96,3.13,3.17,3.08,3.30,3.70,4.15,4.43,5.00,14.13,15.29
Brunei Darussalam,,,,,,,,,,,,,,,10.35,11.59
Bulgaria,2.25,3.59,4.23,4.83,5.35,6.11,6.46,6.61,6.89,6.91,7.24,7.93,15.43,9.57,19.48,20.70
Burkina Faso,0.02,0.04,0.08,0.13,0.21,0.31,0.39,0.47,0.50,0.45,0.42,0.40,0.19,0.27,0.37,0.49
Burundi,0.01,0.01,0.02,0.04,0.08,0.14,0.23,0.26,0.35,0.43,0.53,0.57,0.62,0.57,0.76,0.86
Cambodia,0.19,0.30,0.58,0.88,1.40,1.55,1.46,1.51,3.04,3.41,3.99,5.46,4.63,5.52,6.69,8.01
Cameroon,0.21,0.25,0.38,0.56,0.95,1.35,1.50,1.61,2.55,2.52,3.08,3.57,4.30,5.01,5.84,6.59
Canada,22.55,23.85,27.80,32.03,35.21,35.95,36.34,38.37,40.42,41.40,40.99,41.87,48.75,43.52,88.24,90.42
Cape Verde,0.12,0.24,0.47,1.24,1.84,1.99,1.81,1.54,1.28,1.77,1.67,2.55,3.23,3.60,4.12,4.68
Caribbean,2.01,2.70,3.32,4.62,5.98,7.19,7.54,7.59,7.25,7.30,7.90,8.86,11.25,10.47,11.25,11.65
Central African Republic,0.71,0.81,0.90,0.97,1.01,1.01,0.98,0.98,0.92,1.02,1.20,1.12,1.06,2.36,1.24,1.35
Central America,0.81,1.29,2.03,3.01,4.16,5.25,6.29,6.56,6.23,6.38,6.84,7.74,8.47,9.58,9.99,10.57
Central Asia,5.25,7.00,9.42,11.77,14.19,14.25,13.94,13.96,14.01,13.86,14.43,25.70,17.39,18.94,20.70,21.62
Chad,0.02,0.04,0.08,0.15,0.26,0.41,0.63,0.98,0.86,1.00,1.28,1.43,4.51,1.46,1.48,1.80
Chile,1.92,2.56,3.40,4.63,6.43,7.57,7.98,8.72,10.38,13.23,15.87,17.96,18.89,33.88,41.79,43.63
China,1.01,2.46,3.54,3.40,3.25,3.67,4.87,6.55,7.12,9.09,12.31,17.74,23.72,35.18,70.52,82.77
Colombia,3.07,3.30,4.46,6.30,8.04,9.65,10.05,9.95,9.98,11.10,13.01,13.72,15.79,17.84,44.34,46.51
Comoros,0.07,0.13,0.54,0.48,0.58,1.45,2.76,3.06,3.46,3.44,3.63,4.03,8.89,4.55,5.30,5.92
Congo,0.17,0.52,1.23,3.08,5.45,8.83,9.85,9.25,6.94,6.56,5.41,5.44,7.73,5.43,6.42,7.59
Costa Rica,4.55,5.52,6.77,7.97,9.43,10.65,10.94,10.81,10.60,11.42,12.56,13.72,17.84,15.50,16.84,18.18
Cote d'Ivoire,0.01,0.03,0.07,0.10,0.27,0.53,0.69,0.65,0.73,0.94,1.15,1.44,3.55,2.05,2.59,3.15
Croatia,2.75,2.91,3.42,4.50,4.88,4.31,4.50,4.29,4.14,4.81,5.45,6.07,11.50,7.75,15.13,17.01
Cuba,1.44,2.19,3.48,5.37,7.18,8.41,8.81,8.59,8.12,7.32,7.67,9.28,17.68,13.55,13.99,15.15
Curaçao,1.02,1.19,1.63,2.36,2.76,2.81,2.55,2.64,2.89,2.92,3.25,3.33,4.47,3.43,3.76,5.17
Cyprus,2.19,3.31,5.13,6.82,8.23,9.68,10.48,11.15,12.07,13.43,14.18,15.42,23.78,18.39,18.54,19.44
Czech Republic,3.15,3.92,4.16,5.07,4.82,5.21,5.90,6.29,6.09,6.03,7.34,8.03,13.10,10.12,20.13,21.51
Democratic People's Republic of Korea,5.45,12.02,13.84,15.82,15.80,14.79,14.35,14.47,15.32,13.25,13.97,20.01,14.67,18.92,17.99,19.77
Democratic Republic of the Congo,0.43,0.62,0.92,1.04,1.43,1.86,2.20,2.42,2.44,2.45,2.51,2.82,6.77,3.51,3.62,4.15
Denmark,1.58,1.85,2.28,2.84,3.30,3.40,3.47,3.54,3.92,4.48,4.62,4.87,9.55,5.60,11.35,12.98
Djibouti,,,,,,,,,,,,,,,4.46,5.21
Dominican Republic,1.55,2.00,2.53,3.58,5.34,7.22,8.20,8.20,7.25,7.58,8.96,10.40,11.88,12.69,14.66,15.49
Eastern Africa,0.54,0.70,0.87,1.13,1.48,1.88,2.18,2.48,2.62,2.48,2.63,4.00,4.18,3.34,3.86,4.49
Eastern Asia,2.06,3.32,4.36,4.60,4.80,5.05,6.36,7.87,8.34,10.27,13.44,18.18,23.48,33.80,36.97,43.64
Eastern Europe,3.73,3.93,5.74,6.96,7.74,7.67,7.86,8.58,8.89,9.99,12.98,13.27,15.53,15.11,15.11,15.84
Ecuador,1.99,3.05,4.59,7.01,10.21,13.37,15.29,15.79,14.76,14.33,15.04,16.48,18.16,18.98,20.13,20.95
Egypt,3.83,4.82,5.99,7.32,8.84,10.26,11.76,12.59,12.68,13.17,14.05,15.27,17.25,27.29,43.08,48.50
El Salvador,1.52,1.99,2.66,3.60,4.65,5.84,6.72,7.36,7.57,7.40,8.08,11.50,8.72,9.83,10.90,11.85
Equatorial Guinea,0.02,0.08,0.25,1.37,2.47,2.49,1.93,2.00,2.33,2.47,1.72,1.76,2.52,3.03,3.58,4.56
Eritrea,,,,,,,,,,,,,,,4.46,5.18
Estonia,2.54,5.11,6.94,8.19,9.48,11.24,12.64,13.38,12.13,11.51,12.35,13.10,30.48,14.94,30.57,32.06
Ethiopia,0.19,0.26,0.32,0.46,0.74,1.01,1.27,1.42,1.51,1.57,1.66,3.21,1.66,1.83,2.27,2.83
Europe,3.86,4.39,5.89,7.35,8.38,8.70,9.06,9.75,10.59,11.99,13.86,14.69,21.34,17.07,17.54,18.77
Fiji,3.01,4.04,6.06,5.72,7.48,10.32,10.41,10.09,13.57,17.99,20.60,26.76,24.69,26.56,28.56,29.61
Finland,0.15,0.31,0.63,0.81,0.84,0.89,1.07,1.14,1.20,1.23,1.17,1.20,4.79,1.32,2.64,3.55
France,4.05,4.70,6.40,9.26,11.36,11.78,12.41,13.54,16.48,20.48,22.67,24.54,32.45,29.81,59.68,62.24
French Guiana,1.84,2.60,3.37,4.09,4.55,4.76,4.39,4.42,4.59,4.96,5.41,10.94,5.68,6.88,7.45,8.30
French Polynesia,4.00,5.67,7.63,11.39,13.35,12.87,12.19,12.02,13.01,14.11,15.96,18.76,18.10,19.85,20.44,21.49
Gabon,0.08,0.29,0.75,1.44,2.79,3.61,3.87,3.28,3.08,3.48,3.98,3.72,7.48,2.87,3.23,3.94
Gambia,0.00,0.02,0.17,0.96,1.36,1.85,2.39,3.02,3.47,3.21,2.86,3.36,6.43,4.26,4.67,5.41
Georgia,10.60,13.89,16.03,18.00,21.43,20.98,21.35,21.24,20.48,20.77,20.45,21.60,41.41,25.02,49.77,50.82
Germany,5.34,6.23,7.19,8.45,8.59,9.09,9.20,9.63,10.08,10.32,11.03,11.56,35.71,13.21,26.42,29.02
Ghana,1.44,1.86,2.16,3.11,3.42,3.71,3.21,2.70,2.56,2.71,3.08,3.19,3.12,3.19,3.82,4.23
Greece,3.28,4.57,5.97,7.87,9.98,12.29,13.44,13.96,14.04,14.85,16.70,18.37,27.23,22.11,44.78,46.75
Grenada,,,,,,,,,,,,,,,24.88,25.35
Guadeloupe,2.09,3.03,4.03,4.59,5.31,5.94,5.81,5.83,6.60,7.80,8.47,16.85,9.50,10.60,10.76,11.44
Guam,,,,,,,,,,,,,,,28.56,29.34
Guatemala,0.44,0.55,0.68,0.80,1.08,1.34,1.54,1.66,1.68,1.77,1.86,1.91,2.17,6.37,2.55,2.83
Guinea,0.14,0.31,0.62,1.14,2.11,3.44,3.31,2.11,2.11,2.25,3.38,4.35,13.68,6.20,6.25,7.28
Guinea-Bissau,0.05,0.10,0.18,0.28,0.40,0.50,0.58,0.63,0.49,0.46,0.36,0.36,1.19,0.36,0.28,0.37
Guyana,4.10,5.30,6.38,7.84,9.29,9.49,8.27,6.85,6.41,7.53,10.83,10.67,11.31,11.31,11.83,12.50
Haiti,0.08,0.09,0.09,0.10,0.10,0.11,0.15,0.20,0.25,0.27,0.98,0.26,0.25,0.28,0.35,0.44
Honduras,0.43,0.62,0.91,1.19,1.55,1.93,2.28,2.55,2.55,2.46,2.44,2.87,5.48,3.69,4.18,4.89
Hong Kong Special Administrative Region of China,3.10,5.10,7.89,7.10,7.05,8.99,11.19,15.45,19.50,23.46,27.22,30.47,39.08,37.82,75.72,77.65
Hungary,5.35,6.87,7.06,10.86,11.04,10.07,10.57,12.47,13.95,15.95,19.86,21.77,29.50,26.73,53.92,56.08
Iceland,2.75,3.21,3.73,4.40,5.45,5.84,5.74,5.75,5.79,6.06,5.84,6.04,8.39,6.60,13.74,15.43
India,2.36,3.24,4.68,5.42,6.58,8.07,8.50,8.94,9.58,10.05,11.41,13.25,17.32,17.56,19.81,22.56
Indonesia,0.24,0.47,0.80,1.22,1.64,1.92,2.39,3.04,3.09,2.88,3.01,3.68,4.41,5.62,16.42,18.76
Iran (Islamic Republic of),1.17,1.87,3.37,5.73,7.55,9.60,10.39,11.09,13.24,14.18,13.01,14.65,17.27,19.33,20.92,23.54
Iraq,0.93,1.51,3.15,4.82,4.87,6.49,7.28,8.09,6.97,6.64,7.29,7.50,9.40,7.31,8.83,9.89
Ireland,4.89,6.10,8.06,9.67,12.23,14.36,16.12,18.01,23.07,24.72,27.74,28.95,55.85,31.40,63.54,66.14
Israel,4.88,6.21,7.07,7.62,8.62,8.45,8.30,8.25,8.39,8.95,9.19,20.42,8.85,9.74,20.29,22.30
Italy,0.95,1.25,1.62,1.83,2.39,2.88,2.92,2.91,3.25,3.87,4.29,5.09,9.47,6.88,14.24,15.55
Jamaica,4.66,5.91,6.71,8.14,10.27,12.02,11.68,10.75,11.11,12.63,12.97,14.37,16.21,16.95,19.49,21.25
Japan,7.81,7.75,8.44,9.97,12.72,15.98,19.84,20.64,20.76,21.67,23.39,24.11,24.52,26.55,26.30,27.09
Jordan,3.37,5.72,8.75,13.71,16.09,17.00,17.67,16.84,14.33,12.68,12.38,14.42,15.42,16.23,35.89,37.88
Kazakhstan,5.72,6.80,8.77,10.60,13.06,12.16,11.52,11.74,11.54,12.09,13.72,32.31,18.48,19.88,19.93,20.33
Kenya,0.72,0.87,1.34,2.24,2.76,3.50,3.89,4.22,4.65,4.17,4.28,8.91,4.38,4.73,10.54,11.94
Kiribati,0.34,0.43,0.53,0.62,0.70,0.75,0.80,0.77,0.68,0.64,0.58,0.69,0.79,0.88,0.95,1.09
Kuwait,2.09,2.79,3.49,4.09,4.51,8.49,6.82,5.22,4.29,4.17,3.98,5.48,4.30,6.20,6.58,7.69
Kyrgyzstan,2.43,3.20,4.79,6.27,7.17,6.86,6.24,5.71,4.80,4.50,4.91,17.85,5.91,6.48,6.54,6.81
Lao People's Democratic Republic,0.56,0.88,1.34,1.96,2.79,3.60,5.13,5.39,5.29,4.52,5.00,6.33,6.78,6.97,8.30,9.74
Latin America and the Caribbean,1.71,2.21,2.94,4.03,5.18,6.09,6.65,6.87,6.92,7.33,8.11,8.92,10.28,11.93,11.71,12.56
Latvia,3.83,4.25,5.47,5.24,6.30,7.07,7.14,7.16,6.89,7.81,8.93,9.69,17.28,11.75,23.81,25.82
Lebanon,1.70,2.89,3.90,5.64,7.70,9.63,11.73,13.75,15.65,17.87,20.67,29.99,25.98,28.99,31.04,32.89
Lesotho,1.04,1.20,1.36,1.46,1.67,1.85,1.76,2.26,3.10,3.54,3.70,4.19,8.83,4.53,5.42,5.91
Liberia,0.15,0.23,0.33,0.44,0.61,0.81,0.77,0.68,0.53,0.35,0.33,0.64,0.24,0.27,0.31,0.47
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,20.55,22.96
Lithuania,7.50,8.77,11.91,13.53,17.30,20.05,21.61,21.78,20.28,19.30,18.18,19.72,35.44,22.31,45.86,46.76
Luxembourg,4.68,6.12,7.55,9.43,10.32,10.27,9.72,10.40,11.27,12.19,13.00,14.15,22.09,16.44,32.74,36.71
Macao Special Administrative Region of China,0.35,0.64,1.09,1.70,2.49,3.12,3.37,4.86,8.18,12.30,17.38,21.09,33.21,29.84,30.27,31.19
Madagascar,0.59,0.84,1.26,1.62,1.77,2.40,2.17,1.92,1.69,1.30,1.48,2.49,1.72,1.86,2.42,2.86
Malawi,0.12,0.14,0.28,0.46,0.69,0.75,0.90,1.07,0.99,0.98,1.17,1.96,1.26,1.83,2.22,2.58
Malaysia,2.32,2.50,3.22,4.83,5.47,8.01,10.03,12.06,13.58,16.89,19.21,22.57,25.61,31.40,30.73,33.48
Maldives,0.00,0.02,0.05,0.14,0.36,0.76,1.75,3.04,4.19,5.61,6.82,8.88,9.61,11.64,22.68,24.30
