country,year,primary,lower_sec,upper_sec,college
Afghanistan,1950,3.4500,0.3400,0.3200,0.0300
Afghanistan,1955,4.7000,0.8600,0.8200,0.1100
Afghanistan,1960,5.9400,1.5900,1.5100,0.2400
Afghanistan,1965,7.8200,3.5500,3.3800,0.5700
Afghanistan,1970,9.8500,5.6800,5.4100,0.9300
Afghanistan,1975,12.8100,6.3100,6.0100,0.8400
Afghanistan,1980,15.6400,8.5400,8.1300,1.6000
Afghanistan,1985,17.3800,9.9000,9.4200,1.7200
Afghanistan,1990,18.2600,9.1800,8.7400,1.4900
Afghanistan,1995,19.0100,8.7100,8.2900,1.5700
Afghanistan,2000,20.6800,8.9100,8.4800,1.6100
Afghanistan,2005,27.8300,12.7700,12.1600,2.2400
Afghanistan,2010,32.1800,16.8000,16.7900,3.8500
Afghanistan,2015,43.7300,22.4200,21.3500,3.7500
Afghanistan,2020,56.1300,30.5800,29.1200,5.1300
Afghanistan,2025,63.6900,36.8500,35.0500,6.3000
Africa,1950,9.6400,4.9900,2.4400,0.5600
Africa,1955,12.2000,6.4800,3.2600,0.7800
Africa,1960,15.2900,8.4600,4.2300,1.0600
Africa,1965,19.4300,10.8000,5.4500,1.3800
Africa,1970,24.8600,14.3000,7.4600,1.9000
Africa,1975,30.5800,17.9600,9.4300,2.4000
Africa,1980,36.6900,22.5500,12.1100,2.9700
Africa,1985,42.6100,27.3600,15.0600,3.3900
Africa,1990,48.4300,32.2500,17.8400,3.6500
Africa,1995,51.9200,34.9300,19.6300,3.9000
Africa,2000,54.4200,38.0300,22.2300,4.4600
Africa,2005,58.4000,42.4700,25.9700,5.6400
Africa,2010,60.6400,45.6100,29.7500,7.5200
Africa,2015,63.2000,47.9600,30.2000,7.1800
Africa,2020,65.0900,50.5700,32.1700,7.0000
Africa,2025,68.0700,54.3800,35.1100,7.7200
Albania,1950,59.7200,21.3800,9.5100,2.0100
Albania,1955,76.3700,35.2000,15.7700,3.7000
Albania,1960,89.2700,46.6500,19.2900,4.4900
Albania,1965,94.3300,58.7800,24.5700,6.2200
Albania,1970,96.5200,75.9800,35.5400,9.3400
Albania,1975,97.8300,88.6200,46.9300,9.8800
Albania,1980,98.1800,94.2700,49.3500,8.2500
Albania,1985,98.1900,96.0100,48.8400,7.9000
Albania,1990,98.0400,96.3400,49.4500,10.1500
Albania,1995,97.6800,96.1500,50.6100,11.4000
Albania,2000,97.1600,95.0100,42.7700,13.4700
Albania,2005,97.0200,95.6200,50.9500,16.6300
Albania,2010,95.5500,93.6900,59.5300,27.8200
Albania,2015,96.8600,96.2800,65.8700,23.1900
Albania,2020,99.4200,99.0600,74.0000,25.4700
Albania,2025,99.5100,99.1100,78.9900,27.3600
Algeria,1950,3.5600,1.4200,0.3500,0.1800
Algeria,1955,6.8900,3.1300,0.9000,0.4500
Algeria,1960,12.0000,6.1700,1.9100,0.8400
Algeria,1965,20.0500,11.1500,4.2200,2.1900
Algeria,1970,32.2900,20.0300,7.7100,3.5700
Algeria,1975,43.2700,27.6300,10.3400,4.0800
Algeria,1980,50.1200,32.9900,12.5100,4.2500
Algeria,1985,61.6000,42.5100,16.7800,4.8400
Algeria,1990,71.3200,54.6900,22.1300,6.3100
Algeria,1995,75.9800,61.5200,28.5300,8.9600
Algeria,2000,83.8200,74.2000,36.3200,12.4800
Algeria,2005,86.1600,77.1400,41.6100,15.8200
