country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,28.60,31.05,33.60,35.95,38.50,40.35,38.10,40.30,48.90,53.50,56.65,59.30,61.90,63.20,62.80,64.65
Africa,38.45,40.35,42.35,43.80,45.65,48.10,49.80,50.75,51.30,52.30,54.05,56.75,59.80,62.05,62.40,64.00
Albania,46.20,50.90,56.80,62.05,66.45,69.10,71.10,72.40,73.80,74.75,76.10,77.45,78.30,79.20,77.95,81.20
Algeria,42.15,40.65,41.25,42.65,44.45,49.30,57.50,65.80,67.65,69.10,71.20,72.80,74.50,76.05,76.50,77.90
Angola,36.55,37.45,37.80,39.25,41.05,41.70,42.65,42.00,42.80,45.70,48.10,53.65,58.50,61.65,62.20,63.30
Antigua and Barbuda,,,,,,,,,,,,,,,78.70,79.35
Argentina,62.40,63.70,64.60,65.15,66.25,68.00,69.15,70.65,72.45,73.35,74.30,75.45,76.35,76.85,76.85,79.05
Armenia,59.60,60.80,62.00,63.25,64.45,65.40,66.80,64.80,68.75,69.90,71.00,72.20,73.35,74.65,73.85,76.75
Aruba,58.65,62.60,64.85,66.50,68.65,70.35,71.85,72.80,73.05,73.40,73.55,74.00,75.45,75.80,76.00,78.10
Asia,43.95,46.50,47.60,52.20,55.05,58.00,60.65,63.00,64.85,66.55,68.60,70.45,72.15,73.80,73.90,75.55
Australia,69.45,70.55,71.10,71.05,71.75,73.55,75.15,76.10,77.60,78.75,80.25,81.40,82.40,83.10,84.50,85.20
Australia and New Zealand,69.45,70.55,71.10,71.10,71.75,73.40,74.90,75.80,77.40,78.50,80.00,81.25,82.25,82.95,84.30,85.05
Austria,66.20,67.85,69.45,70.00,70.55,71.85,73.00,74.65,75.90,77.30,78.70,79.95,80.90,81.60,82.45,83.75
Azerbaijan,53.70,54.85,56.35,57.95,59.60,60.50,61.40,62.35,61.70,63.15,66.25,68.55,70.45,72.30,71.35,74.30
Bahamas,60.65,62.00,63.50,65.10,66.50,67.70,68.60,69.35,70.45,71.20,72.25,72.75,72.90,73.10,73.80,75.55
Bahrain,38.85,44.75,53.75,61.15,66.55,69.80,71.70,72.55,73.30,74.85,76.45,78.05,79.30,80.00,80.10,81.70
Bangladesh,39.55,43.20,46.20,48.50,41.45,50.95,52.65,54.65,56.90,62.05,66.60,67.25,69.55,71.95,72.85,74.05
Barbados,,,,,,,,,,,,,,,78.05,79.25
Belarus,61.00,66.15,69.90,71.00,71.05,70.35,70.00,70.15,69.35,68.85,69.15,70.55,72.35,74.15,73.90,76.25
Belgium,67.65,69.40,70.30,70.70,71.45,72.60,73.85,75.15,76.35,77.30,78.25,79.45,80.45,81.40,82.20,83.45
Belize,51.45,55.30,58.05,61.70,64.45,66.70,68.20,70.30,70.35,69.35,69.00,70.85,73.35,73.85,73.40,76.45
Benin,35.50,37.15,38.95,41.05,43.10,46.15,48.85,51.65,54.10,55.85,56.65,57.60,58.75,59.90,60.50,62.20
Bhutan,30.70,32.30,34.55,37.70,41.70,45.90,50.00,53.85,57.45,61.05,64.10,67.05,69.45,71.05,72.20,73.40
Bolivia (Plurinational State of),40.95,42.25,43.70,45.45,47.50,49.70,52.00,54.55,57.75,60.80,63.35,65.20,66.85,67.75,66.20,69.80
Bosnia and Herzegovina,51.30,57.85,62.55,65.45,67.75,69.90,70.85,71.45,62.80,73.25,75.15,76.30,76.60,76.80,76.45,78.95
Botswana,45.80,48.65,51.30,53.60,56.15,59.05,61.55,62.20,58.45,53.35,51.00,55.50,61.25,65.40,64.80,66.45
Brazil,49.05,51.30,53.80,56.05,58.15,60.40,62.90,65.15,66.90,68.95,70.60,72.50,73.75,74.90,74.65,77.10
Brunei Darussalam,,,,,,,,,,,,,,,75.90,77.70
Bulgaria,62.05,66.40,70.15,70.95,71.20,71.20,71.35,71.50,71.30,71.00,72.15,73.15,74.40,74.90,73.40,77.10
Burkina Faso,33.70,34.95,36.55,38.20,40.10,44.05,47.45,49.00,49.30,49.65,51.40,54.40,57.45,59.50,60.15,61.80
Burundi,41.00,42.30,43.50,43.00,37.15,43.60,47.10,46.40,42.60,45.55,49.80,54.80,58.50,61.35,61.85,63.05
Cambodia,39.60,41.25,43.50,45.65,41.05,20.80,48.80,52.85,55.75,56.80,61.15,65.80,68.80,70.40,70.55,72.10
Cameroon,35.20,38.55,39.65,45.20,48.70,50.05,52.10,54.45,54.25,52.85,53.50,55.25,57.80,60.75,61.00,62.50
Canada,69.10,70.50,71.55,72.35,73.15,74.35,75.85,76.80,77.75,78.50,79.60,80.60,81.70,82.15,83.10,84.30
Cape Verde,47.70,49.00,50.35,52.85,55.50,59.45,61.55,63.25,65.05,65.95,70.40,72.60,74.50,75.65,75.45,77.75
Caribbean,52.50,55.70,58.00,60.10,62.10,63.50,64.70,66.05,67.20,68.55,69.85,71.15,70.85,72.55,72.85,74.75
