country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.34,0.86,1.59,3.55,5.68,6.31,8.54,9.90,9.18,8.71,8.91,12.77,16.80,22.42,30.58,36.85
Africa,4.99,6.48,8.46,10.80,14.30,17.96,22.55,27.36,32.25,34.93,38.03,42.47,45.61,47.96,50.57,54.38
Albania,21.38,35.20,46.65,58.78,75.98,88.62,94.27,96.01,96.34,96.15,95.01,95.62,93.69,96.28,99.06,99.11
Algeria,1.42,3.13,6.17,11.15,20.03,27.63,32.99,42.51,54.69,61.52,74.20,77.14,79.78,81.98,83.91,85.63
Angola,0.89,1.47,2.23,2.59,4.11,6.29,8.66,11.03,12.43,12.53,13.12,20.46,21.97,33.83,41.12,49.91
Antigua and Barbuda,,,,,,,,,,,,,,,82.32,84.30
Argentina,15.12,19.43,24.49,29.71,35.16,40.81,46.14,50.37,55.00,58.83,61.69,66.17,70.53,72.99,101.02,106.62
Armenia,58.47,77.96,87.75,94.52,97.64,98.68,99.01,99.12,99.16,99.14,99.04,99.08,99.09,99.14,99.22,99.08
Aruba,18.61,22.73,32.06,39.91,48.31,56.43,62.42,67.61,70.34,70.55,73.57,76.50,76.58,80.44,82.86,84.14
Asia,16.47,19.98,24.66,29.82,34.84,41.02,48.50,54.79,58.60,62.00,63.98,68.42,72.75,76.45,80.23,83.48
Australia,60.13,69.67,76.26,82.99,88.30,92.99,95.35,96.73,97.57,98.14,98.49,98.75,99.00,99.14,127.19,129.09
Australia and New Zealand,58.48,67.91,74.86,81.69,87.09,91.66,94.38,95.80,96.81,97.48,97.88,98.19,98.42,98.70,98.90,98.76
Austria,61.91,64.01,72.40,83.52,88.52,92.84,96.93,98.36,98.66,98.38,98.02,98.25,97.22,98.24,128.99,131.39
Azerbaijan,67.69,71.66,80.40,89.44,94.77,97.44,98.64,99.15,99.27,99.32,99.37,99.34,99.34,99.44,99.52,99.48
Bahamas,36.16,45.55,52.97,63.00,73.25,83.12,90.45,94.23,95.36,95.98,96.59,97.78,98.94,99.03,99.33,99.27
Bahrain,13.27,19.72,27.51,35.37,41.83,49.59,49.60,49.62,51.84,60.33,59.51,72.38,66.08,87.26,106.35,107.19
Bangladesh,7.30,8.93,11.39,12.94,14.45,16.32,18.14,20.47,23.07,26.47,31.46,38.93,44.41,52.65,61.93,70.03
Barbados,,,,,,,,,,,,,,,82.29,84.61
Belarus,41.09,49.48,74.15,87.27,96.97,98.97,99.37,99.47,99.45,99.40,99.68,99.43,99.70,99.92,99.96,99.74
Belgium,41.18,51.75,57.50,67.48,75.88,82.26,85.43,89.14,92.05,93.24,94.18,95.35,94.47,96.32,120.55,122.32
Belize,8.56,11.93,17.16,21.10,26.98,25.99,29.62,32.55,37.74,42.49,45.93,50.99,55.29,59.93,86.82,94.58
Benin,0.88,1.64,2.87,4.60,5.74,8.21,10.12,13.87,12.14,9.70,12.35,19.14,28.59,37.27,45.25,52.32
Bhutan,0.54,0.97,1.81,2.41,4.85,8.17,10.43,13.87,18.68,20.93,31.11,39.07,57.17,65.98,74.46,80.51
Bolivia (Plurinational State of),17.72,19.10,21.74,24.83,29.02,35.35,41.80,46.28,49.83,55.43,63.95,72.43,78.78,84.38,108.80,113.59
Bosnia and Herzegovina,29.12,40.93,46.53,56.06,69.77,79.54,86.68,93.49,96.83,97.49,97.40,98.22,98.62,98.80,113.36,114.12
Botswana,1.36,2.63,4.89,8.42,11.25,16.56,23.69,31.55,41.91,46.95,56.30,69.60,83.73,86.14,110.46,114.56
Brazil,14.14,16.36,19.66,24.13,30.72,38.11,44.59,49.14,52.19,56.87,63.77,69.77,73.97,78.99,90.70,94.74
Brunei Darussalam,,,,,,,,,,,,,,,80.23,82.68
Bulgaria,68.58,77.24,84.44,90.13,93.97,95.27,95.67,96.10,96.13,95.86,94.25,93.94,92.87,93.19,106.35,107.83
Burkina Faso,0.38,0.61,1.06,1.79,2.75,3.71,4.99,6.63,8.33,10.39,10.83,8.86,7.21,10.32,13.86,17.76
Burundi,0.29,0.45,0.67,0.99,1.44,2.25,2.85,3.56,5.00,6.28,9.05,10.87,12.42,14.18,18.40,22.22
Cambodia,3.36,3.63,5.44,7.32,9.03,10.12,9.42,9.47,24.17,35.10,36.34,30.61,33.28,38.62,44.11,49.48
Cameroon,2.90,3.66,5.80,8.29,11.97,15.58,21.09,23.15,28.74,31.13,36.40,38.34,46.07,52.93,59.39,65.29
Canada,85.06,74.54,79.68,85.69,90.57,93.14,94.33,95.27,96.08,96.87,97.07,98.15,99.06,99.15,147.70,148.61
Cape Verde,1.23,2.13,3.73,7.73,11.68,12.72,14.01,15.00,16.16,24.57,30.64,46.90,57.54,64.89,71.04,75.69
Caribbean,18.91,23.93,30.02,38.03,45.67,52.39,57.94,65.77,69.57,70.78,71.68,73.04,74.43,76.28,79.17,81.18
Central African Republic,4.64,5.36,6.12,6.93,7.76,8.64,9.81,10.40,10.34,12.14,14.18,13.40,14.47,15.50,17.97,19.21
Central America,6.21,9.33,13.69,19.32,25.95,32.50,41.00,49.60,56.27,60.74,63.20,67.75,72.67,76.40,78.82,81.66
Central Asia,53.83,61.28,75.36,85.26,94.01,97.11,98.11,98.52,98.56,98.51,98.42,98.53,98.03,98.25,99.14,99.10
Chad,0.60,0.91,1.39,2.03,2.89,3.83,5.09,6.59,7.18,9.32,11.69,14.89,18.17,21.35,21.89,27.56
Chile,24.49,27.35,31.26,37.58,46.75,61.17,73.78,79.70,84.45,88.79,91.88,94.33,95.58,96.60,120.13,121.18
China,9.95,17.18,23.84,31.49,36.46,47.09,62.09,72.83,75.10,80.28,86.10,89.82,92.66,94.62,127.68,133.67
Colombia,11.23,11.38,14.33,19.33,25.11,31.77,38.21,42.47,45.81,51.28,59.22,65.16,72.26,78.38,106.12,111.40
Comoros,0.62,1.16,3.08,3.60,5.04,9.85,16.89,21.98,25.63,26.77,31.86,38.57,45.50,51.07,58.08,63.39
Congo,1.21,2.72,5.95,10.00,18.45,28.65,37.96,40.38,38.32,40.06,39.11,40.15,40.16,42.13,46.60,51.15
Costa Rica,14.61,17.58,21.42,26.32,32.16,37.87,43.30,45.88,43.50,44.95,50.31,56.69,62.75,67.87,73.24,77.52
Cote d'Ivoire,1.16,1.92,3.10,4.61,7.04,9.53,12.36,13.94,15.24,17.49,17.96,22.35,25.70,31.65,38.37,45.27
Croatia,55.98,59.55,65.77,79.02,89.52,92.90,95.30,97.84,98.76,98.93,98.86,99.30,99.10,99.51,110.47,111.33
Cuba,20.30,28.86,40.32,53.44,65.75,74.27,81.23,87.35,89.56,90.81,91.52,93.93,96.31,96.85,97.39,97.63
Curaçao,42.91,51.05,56.06,67.04,73.42,80.34,83.58,85.21,87.31,88.40,89.53,89.58,91.35,89.50,90.79,89.43
Cyprus,17.47,25.46,36.25,49.09,58.80,68.67,79.67,88.38,91.83,93.45,94.48,95.74,96.80,97.41,98.07,97.90
Czech Republic,98.17,98.44,98.86,99.12,99.22,99.04,99.09,99.25,99.32,99.38,99.31,99.39,99.26,99.51,113.50,114.40
Democratic People's Republic of Korea,30.86,70.06,76.70,91.68,99.01,99.90,99.96,99.97,99.97,99.97,99.97,99.96,99.97,99.97,99.97,99.96
Democratic Republic of the Congo,8.17,10.79,14.78,17.12,23.55,30.48,37.09,42.43,46.67,48.79,48.15,52.62,53.44,59.64,59.66,63.65
Denmark,99.86,99.86,99.80,99.65,99.56,99.41,99.16,99.16,99.13,99.24,99.40,99.80,99.96,99.97,107.14,108.12
Djibouti,,,,,,,,,,,,,,,28.65,33.65
Dominican Republic,12.27,14.48,17.37,21.71,27.85,36.26,44.77,52.56,56.14,58.27,63.84,69.39,75.25,78.38,83.22,86.05
Eastern Africa,3.50,4.28,5.55,7.32,9.23,11.27,14.00,17.55,20.88,22.81,24.91,27.71,29.77,31.61,35.38,40.37
Eastern Asia,23.20,28.12,34.29,42.41,46.99,53.48,66.89,76.27,78.08,82.81,88.10,91.06,93.33,95.22,96.82,97.67
Eastern Europe,62.94,58.97,75.64,88.14,95.59,97.82,98.53,98.88,98.88,98.80,98.44,98.62,98.22,98.77,98.90,98.78
