country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.17,0.27,0.33,0.45,0.34,1.10,2.89,3.63,3.67,4.04,3.47,5.78,7.61,13.10,21.31,27.20
Africa,2.34,3.18,4.31,5.87,8.29,11.25,14.98,19.69,24.98,28.68,32.19,37.30,40.58,43.91,47.32,51.22
Albania,12.37,24.17,35.08,47.92,67.06,84.68,93.27,96.01,96.75,96.82,95.89,96.10,93.68,96.12,99.12,99.15
Algeria,0.34,0.86,2.04,4.24,9.83,15.74,21.81,32.79,45.30,53.57,66.18,73.07,76.86,79.13,81.12,82.94
Angola,0.50,0.73,1.22,1.13,1.69,2.39,3.38,5.11,6.45,6.93,7.84,14.18,14.77,26.12,34.18,43.35
Antigua and Barbuda,,,,,,,,,,,,,,,78.08,81.33
Argentina,14.21,18.82,24.66,30.56,37.19,43.57,49.01,53.45,58.05,62.26,65.54,70.71,74.73,78.46,104.83,110.89
Armenia,56.55,75.98,85.91,93.52,97.12,98.63,99.09,99.23,99.35,99.32,99.22,99.24,99.31,99.29,99.35,99.19
Aruba,11.97,14.33,21.40,34.77,43.29,51.61,60.82,66.57,71.06,72.15,75.71,79.29,80.55,84.02,86.30,87.14
Asia,11.59,13.76,17.52,21.91,26.50,32.10,40.04,47.31,52.00,56.25,59.06,64.67,70.14,74.77,78.88,82.26
Australia,57.47,67.37,74.09,81.51,87.47,92.61,95.28,96.83,97.69,98.17,98.57,98.89,99.13,99.32,132.68,134.68
Australia and New Zealand,55.17,65.12,72.53,80.18,86.33,91.36,94.44,96.04,97.02,97.61,98.06,98.42,98.62,98.95,99.16,99.03
Austria,54.44,55.39,63.61,78.25,83.56,89.29,95.68,97.83,98.34,97.99,97.71,98.50,97.06,99.37,136.77,139.36
Azerbaijan,60.39,64.39,73.58,84.48,92.12,96.27,98.09,98.85,99.07,99.19,99.25,99.23,99.25,99.36,99.46,99.42
Bahamas,34.59,44.29,52.52,62.70,73.61,84.27,92.09,94.96,95.87,96.61,97.02,98.02,99.14,99.12,99.42,99.38
Bahrain,5.03,8.47,13.93,21.69,30.91,40.51,46.79,50.32,56.53,65.58,64.33,79.09,72.44,93.09,109.36,110.88
Bangladesh,1.45,2.03,2.80,3.83,5.26,7.24,9.58,12.28,15.53,19.98,26.27,36.00,43.54,54.52,64.54,72.52
Barbados,,,,,,,,,,,,,,,78.08,81.27
Belarus,38.63,46.29,72.86,86.60,96.95,99.13,99.53,99.58,99.57,99.55,99.72,99.56,99.74,99.91,99.95,99.67
Belgium,40.03,54.24,59.45,69.42,77.06,82.75,85.61,89.07,91.78,92.90,93.83,94.99,93.95,95.99,117.56,119.39
Belize,7.61,11.51,15.63,19.15,24.89,25.11,29.07,31.69,37.73,42.20,46.79,52.74,57.60,63.34,95.73,104.56
Benin,0.45,0.82,1.65,2.09,2.67,4.25,5.18,7.71,6.39,4.30,5.90,11.15,16.80,28.63,37.08,43.60
Bhutan,0.17,0.28,0.58,0.77,1.17,2.36,3.74,5.86,9.67,12.49,22.72,35.20,54.24,65.11,75.18,82.35
Bolivia (Plurinational State of),13.98,15.99,18.30,20.50,24.18,29.47,35.20,39.78,43.74,49.86,58.94,69.28,76.97,83.62,111.22,116.56
Bosnia and Herzegovina,16.26,25.83,30.51,40.32,55.82,68.49,78.29,89.37,95.33,96.83,97.02,97.86,98.61,98.62,116.60,117.47
Botswana,1.03,1.99,4.19,6.42,9.16,13.94,21.73,29.03,39.08,44.19,53.75,69.35,85.80,88.20,114.29,118.70
Brazil,14.37,16.32,19.37,23.82,30.82,38.73,45.84,51.22,55.20,60.36,67.30,73.79,78.16,83.43,94.12,98.29
Brunei Darussalam,,,,,,,,,,,,,,,79.80,82.33
Bulgaria,63.13,73.36,81.75,88.10,92.78,94.33,94.95,95.52,95.61,95.44,93.83,93.47,92.23,92.60,108.80,110.53
Burkina Faso,0.13,0.18,0.34,0.63,1.18,1.75,2.55,3.69,4.81,6.36,7.27,6.60,5.87,9.03,13.04,17.20
Burundi,0.02,0.04,0.09,0.19,0.41,1.34,1.41,1.74,2.77,4.35,6.50,8.48,8.76,12.93,17.05,22.00
Cambodia,1.15,1.45,2.12,3.59,5.31,6.76,6.95,6.77,15.49,23.57,26.57,23.15,28.02,34.65,40.37,45.77
Cameroon,1.75,2.18,2.68,3.86,6.19,8.73,13.52,15.37,21.21,24.86,30.50,33.51,41.95,49.18,56.02,62.23
Canada,85.09,79.37,82.88,87.21,91.21,93.63,94.67,95.65,96.44,97.24,97.49,98.59,99.34,99.43,152.49,152.96
Cape Verde,0.59,1.02,1.87,4.29,6.86,7.85,10.11,11.59,13.44,22.24,31.41,48.67,59.55,66.75,72.75,77.14
Caribbean,17.23,21.41,26.95,34.81,43.39,50.81,57.34,65.85,70.37,72.23,73.13,74.72,76.11,78.04,80.54,82.38
Central African Republic,0.52,0.75,1.06,1.49,2.07,2.78,4.53,4.92,4.61,5.92,6.64,7.65,9.30,11.79,13.08,15.89
Central America,6.25,9.14,13.00,18.06,23.83,29.72,38.31,47.39,55.30,60.76,63.74,68.38,73.85,77.82,80.14,83.21
Central Asia,50.21,57.32,72.30,82.83,93.04,96.89,98.16,98.64,98.70,98.69,98.60,98.77,98.27,98.49,99.33,99.27
Chad,0.23,0.31,0.44,0.61,0.84,1.14,1.58,1.94,1.82,3.15,4.50,6.77,8.87,12.89,16.20,21.86
Chile,24.70,27.04,30.59,36.32,44.73,59.15,72.74,78.97,83.94,88.70,91.93,94.57,96.07,97.16,123.49,124.55
China,3.97,9.02,15.21,22.24,26.95,36.80,52.40,65.27,69.40,76.17,83.53,88.36,91.94,94.37,127.68,133.75
Colombia,10.23,10.82,13.32,18.01,24.18,31.15,38.46,43.96,48.07,53.80,61.68,67.96,74.78,80.30,105.31,110.37
Comoros,0.16,0.30,0.53,0.98,0.89,3.23,8.13,13.51,16.70,19.13,26.25,35.39,45.81,52.51,60.65,66.79
Congo,1.25,2.29,4.09,6.15,10.37,14.10,21.39,25.93,24.43,28.39,30.48,32.63,34.31,36.96,41.16,45.72
Costa Rica,14.54,17.32,20.50,24.85,30.51,37.11,43.50,46.73,44.23,45.22,51.63,59.37,66.64,72.70,78.73,83.25
Cote d'Ivoire,0.17,0.29,0.58,0.69,1.74,3.34,4.51,5.97,8.36,9.93,11.36,14.91,16.75,23.49,28.63,33.80
Croatia,46.63,48.15,54.82,71.33,86.38,91.17,94.23,97.55,98.74,99.02,99.01,99.37,99.13,99.54,113.63,114.56
Cuba,17.44,24.27,33.79,46.09,60.47,70.37,78.64,86.81,90.27,92.21,93.19,95.25,97.20,97.62,97.89,98.06
Curaçao,42.12,49.54,55.22,68.02,74.44,81.90,85.24,86.80,88.70,89.69,91.08,90.79,91.81,90.03,90.97,89.67
Cyprus,12.96,18.15,26.91,41.41,53.13,64.61,77.71,87.35,91.57,93.02,94.57,96.16,97.43,98.12,98.76,98.52
Czech Republic,97.74,98.07,98.75,99.10,99.24,99.08,99.10,99.31,99.40,99.47,99.43,99.56,99.41,99.68,117.45,118.56
Democratic People's Republic of Korea,26.90,64.68,69.25,87.68,98.44,99.86,99.96,99.96,99.96,99.96,99.97,99.98,99.96,99.97,99.97,99.96
Democratic Republic of the Congo,0.49,1.05,2.34,3.41,7.73,13.19,17.62,23.17,27.88,34.94,35.87,40.56,37.20,48.82,51.60,55.50
Denmark,99.80,99.80,99.72,99.51,99.39,99.22,98.96,98.90,98.82,98.97,99.13,99.77,99.96,99.98,108.74,109.88
Djibouti,,,,,,,,,,,,,,,26.56,32.04
Dominican Republic,11.96,13.39,15.62,19.91,25.75,34.44,44.26,53.68,59.60,63.24,68.80,74.84,80.27,84.11,88.43,90.89
Eastern Africa,1.91,2.36,3.03,3.94,5.13,6.84,9.21,12.37,16.05,18.94,21.43,24.55,27.25,29.88,34.25,39.79
Eastern Asia,18.46,21.71,27.17,34.91,39.14,44.39,58.47,69.72,73.04,79.26,85.90,89.82,92.69,95.01,96.84,97.83
Eastern Europe,59.89,55.76,74.45,87.52,95.62,98.00,98.67,99.00,99.00,98.97,98.71,98.87,98.53,98.99,99.13,98.97
Ecuador,10.36,12.32,15.05,19.21,25.65,33.36,40.98,48.22,52.83,55.46,58.24,64.40,68.89,75.00,80.07,84.06
Egypt,3.49,5.03,7.19,9.51,13.87,18.84,24.94,30.61,38.70,47.36,54.69,62.76,69.03,74.48,105.10,113.70
El Salvador,5.45,7.34,9.30,11.81,15.00,19.22,25.69,32.63,38.62,43.46,49.63,54.46,59.75,65.38,70.32,74.41
Equatorial Guinea,0.21,0.62,1.56,4.15,5.64,7.46,9.08,11.04,13.32,15.93,15.45,15.80,22.10,26.96,32.29,38.12
Eritrea,,,,,,,,,,,,,,,26.56,31.91
Estonia,64.23,78.03,89.53,95.42,98.15,98.99,99.41,99.54,99.54,99.35,99.06,98.97,99.05,98.70,128.61,129.13
Ethiopia,0.15,0.20,0.25,0.38,0.64,1.03,1.72,2.59,3.57,4.80,6.66,8.87,11.15,14.55,20.10,27.03
Europe,57.08,56.03,68.99,77.13,84.11,89.53,92.73,94.63,95.57,96.31,96.94,97.62,97.56,98.16,98.35,98.21
Fiji,9.34,12.48,15.00,21.34,28.76,38.96,54.63,66.66,71.61,75.96,80.90,86.96,89.43,90.93,92.12,92.91
Finland,31.02,40.41,51.37,62.46,72.07,81.25,95.70,99.43,99.78,99.83,99.88,99.99,99.90,100.00,107.62,108.34
France,32.60,36.74,44.13,54.77,64.18,69.95,78.03,84.70,88.63,90.96,93.01,94.23,95.52,96.07,135.64,137.48
French Guiana,22.64,29.47,36.27,40.67,44.82,50.58,55.20,57.52,58.44,57.21,58.50,57.91,57.94,60.28,63.62,67.40
French Polynesia,14.06,22.08,27.40,36.55,51.37,61.07,67.84,74.61,82.17,86.97,91.79,95.47,97.00,97.88,98.41,98.62
