country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.47,1.40,2.75,6.42,11.01,11.37,14.06,16.23,14.77,13.32,14.17,19.50,25.62,31.41,39.54,46.11
Africa,7.63,9.78,12.64,15.78,20.30,24.65,30.16,35.09,39.54,41.19,43.84,47.63,50.61,51.98,53.75,57.49
Albania,29.19,44.69,56.84,68.36,83.81,92.11,95.16,95.99,95.94,95.46,94.04,95.12,93.73,96.44,98.98,99.06
Algeria,2.46,5.25,10.24,18.01,29.75,38.07,43.53,51.56,63.43,68.94,81.82,80.99,82.55,84.68,86.57,88.19
Angola,1.32,2.26,3.28,4.12,6.48,9.76,13.44,16.69,18.57,18.42,18.56,26.85,29.29,41.66,48.18,56.54
Antigua and Barbuda,,,,,,,,,,,,,,,86.47,87.21
Argentina,16.03,20.05,24.32,28.86,33.12,38.09,43.31,47.37,51.98,55.46,57.97,61.79,66.49,67.75,97.40,102.52
Armenia,60.34,79.88,89.68,95.67,98.21,98.71,98.92,99.02,98.97,98.95,98.84,98.89,98.83,98.98,99.09,98.96
Aruba,25.84,32.77,43.24,45.35,53.85,61.42,64.01,68.62,69.63,68.98,71.27,73.67,72.74,76.94,79.62,81.29
Asia,21.04,25.85,31.36,37.27,42.75,49.51,56.57,61.92,64.88,67.47,68.62,71.95,75.19,77.98,81.47,84.59
Australia,62.68,71.80,78.32,84.39,89.09,93.38,95.43,96.63,97.46,98.10,98.41,98.62,98.87,98.97,121.94,123.74
Australia and New Zealand,61.63,70.49,77.10,83.12,87.81,91.95,94.31,95.57,96.60,97.33,97.69,97.98,98.25,98.47,98.67,98.52
Austria,69.87,72.34,80.80,88.59,93.27,96.34,98.17,98.87,99.00,98.77,98.33,98.00,97.38,97.16,121.63,123.83
Azerbaijan,75.23,79.16,87.76,94.59,97.41,98.60,99.19,99.44,99.48,99.47,99.49,99.43,99.43,99.50,99.58,99.54
Bahamas,38.06,47.13,53.44,63.29,72.88,81.94,88.81,93.52,94.88,95.35,96.14,97.53,98.74,98.93,99.23,99.18
Bahrain,19.26,28.13,37.16,44.68,49.71,54.90,51.23,49.15,48.38,56.62,56.30,68.14,61.88,83.30,104.30,104.07
Bangladesh,12.79,15.20,19.16,21.36,23.07,25.13,26.98,28.71,30.31,32.89,36.71,41.89,45.28,50.79,59.37,67.61
Barbados,,,,,,,,,,,,,,,86.47,87.88
Belarus,44.01,53.05,75.60,87.98,96.99,98.83,99.23,99.36,99.34,99.27,99.62,99.32,99.66,99.92,99.97,99.79
Belgium,42.29,49.26,55.56,65.62,74.74,81.79,85.26,89.20,92.31,93.58,94.52,95.67,94.98,96.65,123.41,125.13
Belize,9.53,12.40,18.80,23.09,29.10,26.88,30.18,33.38,37.75,42.77,45.04,49.16,52.90,56.54,78.11,84.82
Benin,1.37,2.55,4.28,7.41,9.21,12.17,15.04,20.02,17.93,15.18,18.86,27.13,40.29,45.70,53.20,60.83
Bhutan,0.88,1.59,2.91,3.85,8.13,13.49,16.65,21.40,27.24,29.09,38.92,42.12,59.76,66.70,73.85,78.76
Bolivia (Plurinational State of),21.44,22.15,25.14,29.12,33.86,41.25,48.37,52.69,55.80,60.86,68.82,75.49,80.52,85.11,106.47,110.68
Bosnia and Herzegovina,42.33,55.89,62.78,72.55,83.65,90.13,94.48,97.31,98.21,98.13,97.77,98.59,98.61,98.96,110.35,110.88
Botswana,1.69,3.29,5.69,10.81,14.59,19.95,25.87,34.33,45.11,50.02,59.11,69.88,81.65,84.06,106.70,110.50
Brazil,13.90,16.40,19.97,24.43,30.63,37.48,43.34,47.07,49.18,53.38,60.25,65.79,69.88,74.66,87.36,91.28
Brunei Darussalam,,,,,,,,,,,,,,,80.65,83.00
Bulgaria,73.95,81.13,87.18,92.18,95.19,96.20,96.38,96.63,96.63,96.27,94.66,94.40,93.48,93.75,104.08,105.29
Burkina Faso,0.62,1.03,1.77,2.90,4.33,5.75,7.50,9.59,11.89,14.50,14.39,11.07,8.54,11.60,14.66,18.28
Burundi,0.60,0.87,1.27,1.83,2.53,3.18,4.31,5.41,7.26,8.23,11.60,13.29,16.13,15.43,19.74,22.45
Cambodia,5.54,5.79,8.72,11.02,12.77,13.77,12.37,12.37,33.01,46.05,45.79,37.90,38.44,42.67,48.01,53.18
Cameroon,4.09,5.17,9.04,12.99,18.03,22.59,28.72,30.96,36.24,37.41,42.30,43.17,50.18,56.70,62.76,68.35
Canada,85.03,69.77,76.46,84.16,89.94,92.64,94.01,94.89,95.73,96.52,96.67,97.74,98.80,98.87,143.34,144.41
Cape Verde,1.96,3.45,5.91,11.50,16.63,17.92,18.55,18.74,18.97,26.86,29.86,45.25,55.69,63.08,69.39,74.29
Caribbean,20.66,26.50,33.15,41.25,47.98,53.98,58.56,65.70,68.79,69.34,70.25,71.39,72.78,74.55,77.82,79.99
Central African Republic,8.81,10.04,11.28,12.47,13.56,14.48,15.22,16.37,16.66,18.48,21.56,19.02,19.58,19.10,22.77,22.50
Central America,6.15,9.54,14.35,20.58,27.99,35.26,43.81,51.91,57.32,60.73,62.62,67.08,71.47,74.95,77.50,80.14
Central Asia,57.46,65.22,78.48,87.64,94.97,97.31,98.05,98.39,98.42,98.34,98.24,98.30,97.78,98.03,98.96,98.93
Chad,0.98,1.52,2.32,3.43,4.92,6.54,8.62,11.27,12.58,15.50,18.87,22.98,27.39,29.67,27.50,33.15
Chile,24.29,27.64,31.90,38.79,48.73,63.15,74.80,80.42,84.94,88.87,91.82,94.09,95.10,96.04,116.89,117.92
China,15.39,24.49,31.40,39.74,45.29,57.03,71.37,80.07,80.57,84.19,88.54,91.18,93.34,94.85,127.69,133.60
Colombia,12.23,11.94,15.34,20.67,26.02,32.36,37.97,41.01,43.60,48.81,56.78,62.40,69.81,76.50,106.89,112.39
Comoros,1.07,2.02,5.62,6.37,9.63,17.18,26.86,31.63,35.31,34.76,37.83,42.09,45.16,49.67,55.51,60.08
Congo,1.18,3.17,7.84,13.92,26.69,43.39,54.77,55.13,52.74,51.75,47.73,47.60,46.00,47.27,52.01,56.53
Costa Rica,14.67,17.83,22.35,27.75,33.76,38.62,43.11,45.04,42.75,44.68,49.02,54.10,59.03,63.23,67.97,72.04
Cote d'Ivoire,2.10,3.42,5.45,8.21,12.05,15.56,20.47,22.83,22.36,25.24,24.85,29.94,34.53,39.83,47.96,56.36
Croatia,65.53,70.61,76.39,86.40,92.43,94.50,96.33,98.11,98.77,98.86,98.71,99.23,99.07,99.50,107.52,108.29
Cuba,23.15,33.37,46.72,60.57,70.87,78.06,83.77,87.87,88.89,89.48,89.94,92.67,95.49,96.13,96.93,97.22
Curaçao,43.68,52.56,56.92,66.03,72.35,78.77,81.90,83.60,85.86,87.00,87.83,88.31,90.86,88.96,90.64,89.19
Cyprus,22.41,33.21,46.13,57.18,64.32,72.71,81.45,89.29,92.08,93.87,94.39,95.36,96.28,96.80,97.39,97.31
Czech Republic,98.58,98.80,98.96,99.14,99.21,98.99,99.05,99.18,99.24,99.29,99.19,99.24,99.12,99.35,109.78,110.43
Democratic People's Republic of Korea,35.92,77.72,85.08,95.88,99.61,99.94,99.97,99.97,99.97,99.98,99.98,99.96,99.97,99.97,99.97,99.96
Democratic Republic of the Congo,16.81,21.51,28.18,31.68,39.97,47.98,56.75,61.84,65.54,62.76,60.56,64.74,69.76,70.54,67.76,71.88
Denmark,99.93,99.94,99.89,99.79,99.72,99.57,99.34,99.40,99.43,99.51,99.64,99.84,99.95,99.97,105.63,106.42
Djibouti,,,,,,,,,,,,,,,30.72,35.23
Dominican Republic,12.60,15.60,19.13,23.53,29.93,38.10,45.29,51.40,52.66,53.39,59.06,64.08,70.32,72.80,78.21,81.41
Eastern Africa,5.11,6.28,8.19,10.77,13.37,15.86,19.08,22.92,25.82,26.79,28.47,30.95,32.39,33.39,36.52,40.96
Eastern Asia,27.61,34.04,40.70,49.29,54.35,62.25,74.96,82.56,82.88,86.19,90.15,92.25,93.91,95.40,96.78,97.55
Eastern Europe,66.31,62.29,76.84,88.76,95.59,97.66,98.37,98.76,98.76,98.64,98.19,98.38,97.92,98.55,98.71,98.60
Ecuador,9.70,11.84,14.87,19.70,26.22,34.00,42.02,48.44,51.72,53.37,55.32,60.18,65.42,69.21,72.82,76.03
Egypt,12.65,15.90,19.95,24.48,30.61,37.11,44.34,51.12,57.31,62.00,66.79,71.53,75.32,79.01,103.52,110.97
El Salvador,7.25,9.47,12.75,16.76,21.85,28.22,34.88,40.62,44.75,48.56,53.04,57.63,60.60,64.98,69.17,72.93
Equatorial Guinea,5.30,9.21,14.70,19.04,31.69,34.79,40.20,40.45,41.91,42.74,36.23,32.82,41.97,45.27,48.83,52.65
Eritrea,,,,,,,,,,,,,,,30.72,35.31
