country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,3.45,4.70,5.94,7.82,9.85,12.81,15.64,17.38,18.26,19.01,20.68,27.83,32.18,43.73,56.13,63.69
Africa,9.64,12.20,15.29,19.43,24.86,30.58,36.69,42.61,48.43,51.92,54.42,58.40,60.64,63.20,65.09,68.07
Albania,59.72,76.37,89.27,94.33,96.52,97.83,98.18,98.19,98.04,97.68,97.16,97.02,95.55,96.86,99.42,99.51
Algeria,3.56,6.89,12.00,20.05,32.29,43.27,50.12,61.60,71.32,75.98,83.82,86.16,87.70,88.89,89.90,90.82
Angola,5.37,7.71,9.88,11.41,15.37,20.57,27.26,33.44,37.15,34.38,33.36,47.00,45.77,66.17,72.71,80.64
Antigua and Barbuda,,,,,,,,,,,,,,,96.72,96.14
Argentina,59.17,63.57,68.19,72.23,76.04,80.36,84.05,86.90,89.15,90.82,91.92,91.35,92.58,89.82,114.29,117.11
Armenia,91.19,96.65,98.37,99.23,99.60,99.75,99.77,99.76,99.76,99.75,99.75,99.73,99.72,99.69,99.70,99.61
Aruba,45.41,52.68,60.94,69.01,74.26,81.10,84.72,88.45,90.25,91.23,93.53,95.80,95.80,97.99,98.41,97.68
Asia,33.33,41.78,48.86,55.07,60.62,65.67,69.32,73.40,76.59,77.97,78.29,81.48,84.60,86.59,89.05,90.85
Australia,94.70,96.46,97.39,98.35,98.83,98.99,99.11,99.26,99.39,99.54,99.61,99.72,99.73,99.86,127.84,129.76
Australia and New Zealand,95.35,96.81,97.54,98.34,98.71,98.87,98.96,99.07,99.21,99.38,99.46,99.60,99.55,99.79,99.88,99.73
Austria,99.96,99.95,99.96,99.98,99.99,99.98,100.00,100.00,99.99,100.00,99.99,99.99,99.99,100.00,130.61,132.91
Azerbaijan,89.16,91.01,94.60,97.08,98.56,99.27,99.60,99.74,99.77,99.80,99.85,99.90,99.92,99.94,99.95,99.88
Bahamas,64.65,72.17,77.80,83.47,88.55,92.02,95.15,97.10,97.86,98.37,98.57,99.04,99.49,99.54,99.68,99.60
Bahrain,18.55,27.07,37.03,46.61,53.96,60.81,61.80,62.10,62.67,69.44,74.55,86.08,76.20,96.31,113.11,113.16
Bangladesh,16.77,19.23,22.58,24.77,26.98,29.81,32.58,35.84,39.38,44.26,51.43,60.96,68.96,75.77,82.02,86.83
Barbados,,,,,,,,,,,,,,,96.71,96.68
Belarus,94.10,95.69,98.48,99.47,99.74,99.81,99.80,99.78,99.75,99.74,99.82,99.73,99.76,99.93,99.97,99.86
Belgium,87.51,90.00,90.74,93.16,94.85,96.36,97.07,97.77,98.33,98.79,99.26,99.93,99.99,99.99,123.81,125.22
Belize,49.39,52.73,55.57,60.71,64.70,67.17,68.66,69.46,72.64,74.37,76.66,79.16,82.75,82.61,106.04,110.51
Benin,3.76,5.64,8.12,11.50,13.37,16.48,18.52,24.11,27.14,24.31,25.72,35.49,44.10,57.05,65.75,72.42
Bhutan,0.74,1.17,2.00,2.59,5.01,8.46,10.77,14.33,19.33,22.09,32.67,41.07,59.58,68.31,76.64,82.73
Bolivia (Plurinational State of),26.32,28.89,33.03,38.02,43.56,50.54,57.91,64.12,69.76,75.03,81.04,87.74,92.13,95.48,117.00,119.58
Bosnia and Herzegovina,51.09,65.73,75.42,85.00,92.64,95.83,97.45,98.62,99.12,99.25,99.25,99.22,99.35,99.11,113.59,114.45
Botswana,3.38,6.19,11.28,17.91,27.62,38.33,48.23,61.03,74.37,83.29,88.31,90.31,92.09,93.25,115.43,118.12
Brazil,34.85,37.47,41.04,45.75,53.08,60.92,67.58,72.23,75.35,79.38,83.88,88.08,92.15,93.47,103.02,105.02
Brunei Darussalam,,,,,,,,,,,,,,,95.62,95.28
Bulgaria,93.57,95.01,96.18,97.34,98.14,98.53,98.55,98.56,98.54,98.40,97.91,97.67,96.91,97.05,109.87,111.00
Burkina Faso,0.75,1.17,1.86,2.92,4.48,6.34,8.14,9.91,11.98,14.41,15.70,15.71,13.09,17.56,22.34,27.36
Burundi,5.08,6.06,7.16,8.37,9.71,12.40,12.79,13.22,18.70,28.13,37.01,38.32,38.84,37.76,43.29,46.33
Cambodia,13.80,15.41,20.39,26.84,32.01,33.87,30.62,28.94,51.35,63.51,64.66,58.38,60.81,64.53,67.90,70.75
Cameroon,17.95,20.81,27.04,34.16,45.42,52.27,60.71,57.83,63.95,65.56,68.99,70.42,74.93,77.70,80.13,82.33
Canada,93.29,93.25,95.24,96.61,97.66,98.25,98.45,98.74,98.92,99.14,99.16,99.30,99.88,99.52,148.06,149.02
Cape Verde,8.62,10.33,13.00,17.73,23.52,24.94,27.76,32.64,35.63,47.02,50.32,69.06,77.53,84.06,88.91,92.10
Caribbean,42.54,46.32,51.54,57.80,63.02,67.61,71.32,77.36,80.22,81.02,82.20,83.00,82.31,83.03,85.28,86.63
Central African Republic,9.88,11.58,13.49,15.63,18.02,20.72,26.43,27.10,27.53,30.37,31.85,31.97,35.43,37.98,44.71,38.19
Central America,17.70,23.94,31.64,40.30,49.23,57.18,65.76,72.37,77.68,81.11,82.57,85.32,88.38,90.65,91.86,92.69
Central Asia,82.79,86.64,91.69,94.83,97.94,99.02,99.36,99.49,99.49,99.49,99.43,99.41,99.42,98.84,99.67,99.62
Chad,4.25,5.11,6.19,7.35,8.58,9.67,10.99,12.89,14.62,18.64,22.10,28.19,34.36,40.48,38.78,45.28
Chile,50.24,54.52,58.92,65.71,73.44,81.53,88.09,90.66,93.01,95.32,96.47,97.22,97.75,98.20,121.59,122.37
China,31.98,48.62,59.75,69.95,75.14,79.59,85.60,91.17,92.64,93.59,94.23,95.90,97.82,97.92,130.01,135.31
Colombia,38.24,37.00,41.19,47.46,55.16,62.94,69.94,75.09,77.78,80.47,83.85,87.92,89.25,91.07,115.26,117.88
Comoros,1.65,2.63,4.96,6.04,8.03,14.38,24.80,33.38,40.03,46.04,52.61,60.87,66.13,74.00,80.37,84.29
Congo,7.57,13.02,21.13,28.57,41.04,52.15,62.53,75.57,81.61,80.45,80.75,81.03,80.76,81.27,82.71,83.87
Costa Rica,37.52,42.13,48.61,56.93,66.56,75.79,82.46,85.81,85.98,85.12,86.02,89.28,91.60,93.65,95.22,96.17
Cote d'Ivoire,2.40,3.99,6.54,9.59,15.70,21.42,24.81,29.38,35.06,36.64,34.64,38.79,41.50,46.23,52.08,57.84
Croatia,85.87,85.73,92.06,96.41,98.40,98.91,99.03,99.29,99.46,99.48,99.49,99.50,99.49,99.53,110.48,111.45
Cuba,55.32,62.57,70.88,78.74,85.89,90.77,93.75,96.45,97.22,97.51,97.98,98.42,98.80,98.98,99.31,99.38
Curaçao,74.52,79.86,83.23,88.52,91.42,94.05,95.25,96.08,97.54,98.44,99.01,98.89,99.58,98.45,99.47,98.00
Cyprus,63.39,70.11,79.38,87.77,94.47,97.86,98.83,99.11,99.18,99.21,99.31,99.48,99.55,99.69,99.98,99.66
Czech Republic,99.14,99.26,99.44,99.54,99.56,99.43,99.45,99.50,99.51,99.56,99.50,99.54,99.50,99.65,113.62,114.53
Democratic People's Republic of Korea,86.65,96.06,98.14,99.56,99.92,99.97,99.98,99.99,99.98,99.99,99.98,99.97,99.98,99.98,99.98,99.97
Democratic Republic of the Congo,14.32,18.20,23.75,26.79,35.30,43.83,50.26,55.69,60.66,65.14,64.87,69.05,68.66,74.74,71.74,73.89
Denmark,99.87,99.87,99.87,99.88,99.86,99.84,99.80,99.81,99.78,99.81,99.87,99.96,99.99,99.99,107.16,108.16
Djibouti,,,,,,,,,,,,,,,36.83,42.45
Dominican Republic,17.90,20.81,24.99,31.45,38.85,47.45,56.45,64.54,69.18,71.64,75.20,79.20,84.03,85.46,89.12,91.03
Eastern Africa,7.55,9.34,11.69,15.08,19.47,23.91,29.24,35.32,40.46,44.01,46.73,49.87,51.55,52.91,55.82,59.98
Eastern Asia,43.45,57.09,66.67,75.67,79.70,82.41,87.65,92.36,93.54,94.42,95.09,96.41,98.04,98.16,98.85,99.12
Eastern Europe,94.94,97.17,98.53,99.21,99.57,99.66,99.68,99.66,99.63,99.62,99.53,99.54,99.53,99.59,99.64,99.56
Ecuador,31.39,34.15,38.73,45.43,53.30,61.73,69.02,75.22,79.45,81.99,83.74,85.90,87.92,89.50,90.92,92.11
Egypt,10.76,13.45,16.76,20.53,25.86,31.50,37.98,44.19,51.49,58.67,64.67,70.29,75.57,80.00,107.66,114.92
El Salvador,13.74,17.02,21.88,27.36,33.37,40.31,46.86,52.42,57.08,61.39,66.86,71.32,75.87,79.78,83.04,85.76
Equatorial Guinea,21.59,27.64,33.90,39.19,47.92,58.19,63.19,63.59,67.78,70.90,77.67,63.75,76.68,78.95,81.05,82.69
Eritrea,,,,,,,,,,,,,,,36.83,42.38
Estonia,98.49,99.00,99.46,99.70,99.80,99.83,99.83,99.81,99.76,99.72,99.66,99.72,99.68,99.78,122.21,122.83
Ethiopia,1.74,2.34,2.84,3.57,4.71,6.17,8.14,10.54,13.25,16.22,19.54,25.99,28.35,31.05,36.73,43.63
Europe,90.05,91.64,94.40,95.67,97.14,97.96,98.46,98.77,99.00,99.14,99.21,99.34,99.43,99.50,99.60,99.46
Fiji,42.12,50.89,56.54,68.75,80.19,85.84,91.03,94.51,96.13,96.70,97.68,97.98,98.78,99.19,99.36,99.34
Finland,99.92,99.93,99.94,99.96,99.97,99.97,100.00,100.00,100.01,100.00,100.00,100.00,100.00,100.01,104.37,104.98
France,96.78,96.46,96.32,96.59,97.46,97.82,98.04,98.30,98.66,98.90,98.99,99.24,99.33,99.56,134.04,135.37
French Guiana,53.15,59.75,65.38,69.68,72.81,75.62,77.74,79.21,80.42,81.49,83.75,83.29,84.21,87.27,88.92,89.88
French Polynesia,45.11,55.37,62.98,71.22,80.99,86.02,88.62,91.23,93.51,95.70,97.54,98.20,99.02,99.32,99.47,99.47
Gabon,3.59,8.00,14.98,24.43,37.24,52.24,65.13,71.79,75.60,77.55,79.02,82.41,84.95,84.98,83.88,84.27
Gambia,0.04,0.31,1.74,7.44,10.54,13.07,15.83,20.69,28.06,32.69,39.68,48.93,55.98,62.85,65.38,70.62
Georgia,91.06,95.00,97.32,98.59,99.09,99.30,99.44,99.47,99.49,99.53,99.50,99.50,99.37,99.49,129.88,130.44
