country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.28,0.53,0.89,1.44,2.20,3.20,4.52,5.85,6.89,7.58,8.32,13.28,16.23,27.73,41.59,49.23
Africa,4.97,6.49,8.35,11.26,15.71,20.78,26.44,32.87,39.66,44.39,47.73,52.74,55.29,59.40,62.62,66.04
Albania,43.44,65.39,84.34,91.91,95.30,97.37,98.11,98.33,98.39,98.17,97.69,97.30,95.36,96.66,99.46,99.55
Algeria,1.06,2.28,4.77,8.51,18.23,27.95,36.01,48.41,59.32,66.52,75.93,82.07,84.93,86.23,87.32,88.34
Angola,1.88,2.46,3.35,3.41,4.53,5.90,8.83,14.52,20.36,18.87,18.63,32.51,30.13,55.78,65.88,75.60
Antigua and Barbuda,,,,,,,,,,,,,,,95.86,95.51
Argentina,59.10,63.37,68.50,72.88,77.28,81.49,84.89,87.48,89.69,91.59,92.71,92.45,93.84,91.72,114.13,117.34
Armenia,89.42,95.82,97.91,99.00,99.50,99.70,99.76,99.79,99.79,99.79,99.79,99.77,99.76,99.74,99.74,99.62
Aruba,39.50,45.89,54.08,66.77,71.50,78.36,84.51,88.71,90.42,92.54,94.32,96.69,96.69,98.71,98.94,98.11
Asia,22.29,31.40,38.53,45.08,51.40,57.37,62.18,67.45,71.50,73.18,73.62,77.93,81.80,84.83,87.68,89.63
Australia,93.69,95.84,96.88,98.10,98.69,98.87,99.03,99.21,99.38,99.50,99.61,99.74,99.74,99.89,133.15,135.15
Australia and New Zealand,94.48,96.26,97.11,98.10,98.59,98.74,98.87,99.04,99.20,99.36,99.48,99.64,99.58,99.83,99.91,99.76
Austria,99.95,99.94,99.96,99.98,99.98,99.98,100.00,100.01,100.01,100.00,100.00,99.99,99.99,100.00,137.30,139.95
Azerbaijan,85.97,88.13,92.53,95.72,97.85,98.94,99.43,99.64,99.72,99.77,99.83,99.88,99.91,99.93,99.95,99.88
