country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,6.14,8.41,10.53,13.72,17.48,22.15,26.49,29.01,29.77,30.27,32.63,41.84,47.48,59.17,70.16,77.57
Africa,14.30,17.90,22.27,27.67,33.99,40.36,47.00,52.43,57.22,59.46,61.07,64.04,65.96,66.97,67.51,70.07
Albania,73.81,85.82,93.62,96.46,97.59,98.25,98.23,98.04,97.69,97.17,96.58,96.71,95.75,97.06,99.35,99.46
Algeria,5.97,11.18,19.13,31.51,45.69,56.73,63.41,73.88,82.48,84.81,91.33,90.04,90.32,91.40,92.36,93.18
Angola,9.17,13.18,16.66,19.73,26.00,33.69,43.93,51.47,54.39,50.69,48.52,61.75,61.65,76.72,79.67,85.73
Antigua and Barbuda,,,,,,,,,,,,,,,97.55,96.74
Argentina,59.24,63.78,67.88,71.59,74.78,79.25,83.22,86.36,88.60,90.06,91.16,90.29,91.35,87.99,114.48,116.87
Armenia,92.91,97.46,98.87,99.51,99.73,99.77,99.78,99.75,99.72,99.72,99.69,99.67,99.66,99.63,99.66,99.58
Aruba,51.84,60.80,68.13,71.36,77.30,83.94,84.91,88.18,90.08,89.95,92.69,94.90,94.94,97.30,97.88,97.25
Asia,43.67,51.56,58.56,64.49,69.36,73.56,76.13,79.07,81.43,82.52,82.70,84.82,87.22,88.19,90.31,91.96
Australia,95.68,97.05,97.88,98.58,98.95,99.12,99.20,99.30,99.42,99.57,99.61,99.70,99.70,99.84,122.77,124.60
Australia and New Zealand,96.18,97.31,97.98,98.56,98.83,98.98,99.03,99.10,99.23,99.38,99.44,99.57,99.55,99.76,99.88,99.71
Austria,99.97,99.97,99.98,99.98,99.99,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00,99.99,124.28,126.23
Azerbaijan,92.45,93.97,96.84,98.50,99.27,99.60,99.76,99.83,99.84,99.84,99.87,99.90,99.93,99.93,99.95,99.89
Bahamas,66.04,73.50,79.01,84.32,88.62,91.32,94.52,96.84,97.66,98.07,98.39,98.91,99.31,99.44,99.57,99.50
Bahrain,26.92,38.56,49.91,58.86,64.37,67.70,65.08,63.11,60.28,66.87,75.93,86.09,74.94,95.81,113.55,112.50
Bangladesh,26.07,29.05,33.67,36.05,37.74,40.03,42.21,44.37,46.50,50.26,56.00,62.59,68.89,72.97,78.95,84.44
Barbados,,,,,,,,,,,,,,,97.55,97.41
Belarus,96.48,97.83,98.96,99.52,99.73,99.80,99.78,99.76,99.72,99.72,99.79,99.71,99.73,99.93,99.98,99.88
Belgium,87.40,89.60,90.40,92.79,94.57,96.15,96.90,97.69,98.34,98.81,99.26,99.91,99.98,100.00,126.38,127.76
Belize,46.77,50.31,54.25,61.08,66.06,67.78,69.42,70.35,73.62,75.62,77.86,79.21,82.29,80.83,99.04,102.39
Benin,6.02,8.83,12.08,17.89,19.91,23.79,27.00,33.69,37.89,33.62,36.57,46.46,57.88,64.39,71.00,77.54
Bhutan,1.23,1.93,3.17,4.13,8.34,13.90,17.11,21.89,28.08,30.58,40.82,44.59,62.72,69.49,76.47,81.52
Bolivia (Plurinational State of),31.93,34.27,38.91,45.29,52.11,59.70,67.13,72.55,76.86,80.89,85.54,90.34,93.64,96.08,114.57,116.61
Bosnia and Herzegovina,71.80,83.86,91.51,95.53,97.83,98.60,98.88,99.17,99.28,99.33,99.29,99.27,99.34,99.09,110.42,111.04
Botswana,4.67,8.20,13.23,21.09,30.48,39.84,48.09,58.65,70.83,80.41,85.59,88.07,90.24,91.43,111.83,114.18
Brazil,33.63,37.01,41.03,45.96,53.13,60.69,66.70,70.62,73.16,76.90,81.56,86.13,90.62,92.26,103.26,105.39
Brunei Darussalam,,,,,,,,,,,,,,,96.20,95.62
Bulgaria,95.35,96.36,97.39,98.17,98.67,98.88,98.80,98.77,98.75,98.60,98.09,97.88,97.21,97.30,107.31,108.19
Burkina Faso,1.21,1.90,2.99,4.59,6.89,9.52,11.84,14.04,16.77,19.82,20.54,19.58,15.43,19.43,22.99,27.14
Burundi,10.31,12.03,13.84,15.60,17.09,18.00,18.81,18.02,23.59,35.03,43.30,43.63,46.20,39.94,46.44,48.24
Cambodia,23.50,25.93,33.57,41.28,45.73,45.54,40.47,38.71,62.56,70.99,70.54,64.86,64.39,65.52,68.41,71.12
Cameroon,25.86,28.77,38.18,46.58,57.11,62.81,68.99,65.14,70.10,71.71,74.53,74.84,78.56,81.42,83.86,86.07
Canada,93.41,93.14,95.84,97.17,97.99,98.37,98.50,98.72,98.85,99.06,99.06,99.22,99.85,99.43,143.87,144.97
Cape Verde,13.42,16.10,19.75,25.56,32.35,33.93,35.16,37.65,38.98,49.05,49.86,67.60,75.98,82.71,87.83,91.29
Caribbean,44.66,49.14,54.41,60.67,64.93,68.98,72.20,77.85,80.33,80.61,81.86,82.16,80.97,81.48,84.00,85.39
Central African Republic,18.53,21.36,24.36,27.43,30.51,33.48,39.28,40.36,42.13,43.20,44.54,44.20,47.08,46.44,57.08,45.01
Central America,17.35,24.06,32.42,41.77,51.44,60.02,68.20,74.40,78.89,81.58,82.60,85.33,88.15,90.24,91.40,92.23
Central Asia,85.63,89.18,93.19,95.30,98.14,99.01,99.31,99.42,99.42,99.42,99.35,99.35,99.34,98.75,99.61,99.55
Chad,8.00,9.51,11.22,13.05,15.00,16.61,18.19,21.08,24.58,29.85,33.75,40.78,48.22,51.76,43.77,48.16
Chile,48.90,54.18,59.29,66.52,74.66,82.75,88.60,90.65,92.86,95.03,96.13,96.90,97.45,97.92,118.56,119.19
China,47.11,60.63,70.05,78.95,82.92,86.35,90.60,94.25,94.70,95.29,95.78,96.74,98.11,98.06,130.05,135.33
Colombia,38.03,36.66,41.63,48.22,55.52,62.88,69.32,73.80,76.07,78.87,81.99,86.39,87.28,89.17,115.69,118.39
Comoros,2.90,4.61,8.82,10.46,14.94,24.28,38.78,46.70,50.58,55.21,60.52,65.95,67.54,74.71,79.55,82.37
Congo,11.86,20.10,31.82,41.48,55.34,72.03,83.22,86.64,87.20,86.78,85.49,84.43,82.62,82.22,83.86,85.05
Costa Rica,37.54,42.07,49.67,58.79,68.57,77.13,82.87,85.51,85.50,84.63,85.46,88.64,90.88,92.97,94.67,95.73
Cote d'Ivoire,4.28,7.01,11.25,16.72,26.01,32.30,35.58,40.47,44.59,46.59,43.87,48.08,50.37,54.90,61.62,68.23
Croatia,92.26,92.62,96.28,98.26,99.05,99.16,99.17,99.35,99.49,99.52,99.50,99.51,99.49,99.53,107.53,108.39
Cuba,57.30,66.12,74.92,83.15,88.30,91.65,94.24,96.17,96.72,97.08,97.57,98.12,98.61,98.84,99.38,99.43
Curaçao,75.64,80.73,83.39,87.83,90.75,93.33,94.61,95.52,97.13,98.15,98.75,98.62,99.47,98.11,99.46,97.95
Cyprus,76.42,82.09,88.16,93.07,96.38,98.10,98.80,99.05,99.15,99.23,99.31,99.47,99.54,99.65,99.97,99.69
Czech Republic,99.35,99.49,99.54,99.59,99.59,99.44,99.45,99.44,99.45,99.49,99.41,99.48,99.42,99.61,110.00,110.64
Democratic People's Republic of Korea,91.99,97.83,99.03,99.81,99.97,99.98,99.99,99.98,99.98,99.99,99.99,99.97,99.98,99.98,99.98,99.97
Democratic Republic of the Congo,28.57,35.02,43.45,47.89,57.36,65.78,72.73,75.98,79.51,78.52,76.92,80.00,82.51,83.17,75.70,77.25
