country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,7.258,7.268,7.293,7.343,7.459,7.581,7.552,7.525,7.654,7.666,7.322,6.554,5.829,5.134,4.642,4.167
Africa,6.598,6.641,6.699,6.715,6.706,6.668,6.508,6.186,5.754,5.353,5.097,4.950,4.768,4.519,4.272,3.974
Albania,6.188,6.487,6.182,5.418,4.886,4.142,3.446,3.065,2.781,2.502,2.057,1.699,1.678,1.502,1.684,1.640
Algeria,7.304,7.395,7.599,7.665,7.542,7.222,6.610,5.362,4.221,2.965,2.504,2.680,2.928,3.031,2.939,2.732
Angola,5.955,6.451,6.872,7.260,7.477,7.477,7.460,7.399,7.135,6.794,6.568,6.367,6.034,5.604,5.151,4.601
Antigua and Barbuda,,,,,,,,,,,,,,,1.409,1.379
Argentina,3.155,3.133,3.086,3.046,3.158,3.339,3.208,3.059,2.987,2.731,2.499,2.376,2.330,2.149,1.805,1.737
Armenia,4.830,4.877,4.495,3.732,3.247,2.756,2.542,2.669,2.470,1.883,1.550,1.460,1.581,1.587,1.657,1.704
Aruba,5.682,5.213,4.455,3.433,2.710,2.451,2.365,2.304,2.249,2.063,1.786,1.894,2.039,1.768,1.574,1.511
Asia,5.781,5.688,5.654,5.751,5.159,4.136,3.796,3.499,2.989,2.640,2.486,2.365,2.288,2.162,1.945,1.878
Australia,3.138,3.376,3.385,2.894,2.671,2.021,1.910,1.864,1.874,1.793,1.768,1.940,1.899,1.768,1.562,1.573
Australia and New Zealand,3.230,3.497,3.519,2.984,2.719,2.056,1.922,1.893,1.908,1.821,1.799,1.967,1.925,1.785,1.570,1.580
Austria,2.083,2.525,2.776,2.609,2.084,1.669,1.613,1.450,1.490,1.398,1.375,1.402,1.441,1.495,1.435,1.436
Azerbaijan,5.173,5.594,5.922,5.424,4.616,3.880,3.360,3.151,2.862,2.268,1.912,2.013,2.139,1.884,1.681,1.680
Bahamas,4.642,4.747,4.770,4.362,3.840,3.139,2.795,2.541,2.627,2.346,2.007,1.937,1.700,1.462,1.372,1.376
Bahrain,7.157,7.171,7.100,6.802,6.117,5.303,4.549,4.090,3.510,2.965,2.714,2.324,2.126,1.999,1.822,1.695
Bangladesh,6.360,6.583,6.832,6.844,6.841,6.589,6.059,5.087,4.074,3.460,3.073,2.624,2.229,2.065,1.949,1.833
Barbados,,,,,,,,,,,,,,,1.640,1.646
Belarus,2.591,2.725,2.566,2.277,2.308,2.113,2.054,2.101,1.731,1.330,1.268,1.375,1.607,1.586,1.354,1.434
Belgium,2.335,2.461,2.631,2.423,2.065,1.713,1.614,1.549,1.619,1.595,1.674,1.813,1.794,1.648,1.543,1.551
Belize,6.658,6.560,6.460,6.358,6.289,6.165,5.542,4.862,4.345,3.831,3.436,2.897,2.553,2.329,2.161,2.021
