country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.32,0.82,1.51,3.38,5.41,6.01,8.13,9.42,8.74,8.29,8.48,12.16,16.79,21.35,29.12,35.05
Africa,2.44,3.26,4.23,5.45,7.46,9.43,12.11,15.06,17.84,19.63,22.23,25.97,29.75,30.20,32.17,35.11
Albania,9.51,15.77,19.29,24.57,35.54,46.93,49.35,48.84,49.45,50.61,42.77,50.95,59.53,65.87,74.00,78.99
Algeria,0.35,0.90,1.91,4.22,7.71,10.34,12.51,16.78,22.13,28.53,36.32,41.61,48.37,54.03,58.81,62.72
Angola,0.12,0.20,0.30,0.36,0.59,0.92,1.31,1.71,1.95,2.05,2.28,3.56,8.97,5.89,7.39,9.41
Antigua and Barbuda,,,,,,,,,,,,,,,72.11,74.04
Argentina,10.55,13.62,17.30,21.13,25.48,29.94,34.16,37.61,41.62,44.55,46.86,50.37,52.87,55.78,83.91,89.63
Armenia,43.02,62.50,73.03,83.73,90.41,92.63,93.65,94.18,94.37,94.00,92.74,93.71,94.92,95.15,96.00,95.71
Aruba,6.68,6.66,11.01,14.85,17.77,21.46,25.37,31.28,35.37,36.03,37.47,40.48,39.11,45.66,51.17,56.55
Asia,8.14,10.24,13.39,15.85,18.20,20.43,25.51,27.71,27.89,31.20,35.89,41.69,46.74,53.98,61.17,66.67
Australia,48.01,58.15,65.40,73.20,79.57,86.11,89.82,92.08,93.86,95.33,96.13,96.71,97.42,97.60,125.90,127.14
Australia and New Zealand,43.49,53.06,60.70,68.79,75.94,83.71,87.79,89.95,91.95,93.67,94.64,95.29,96.01,96.41,97.05,96.44
Austria,40.00,44.88,52.84,64.20,67.96,69.76,73.69,76.91,78.02,78.72,79.85,81.29,83.74,83.41,116.68,120.78
Azerbaijan,48.88,51.49,60.41,70.75,78.25,82.68,84.75,85.77,86.50,87.40,89.29,91.11,91.41,93.16,94.44,94.92
Bahamas,20.12,28.75,36.62,47.10,58.97,71.52,81.42,87.31,89.35,90.10,90.89,93.26,95.43,96.11,96.86,96.69
Bahrain,10.52,15.53,21.45,27.16,31.53,35.32,34.29,33.29,34.84,44.77,41.22,53.58,52.43,71.50,92.22,95.02
Bangladesh,3.33,4.38,6.09,7.17,8.10,9.08,9.84,10.99,12.58,14.64,17.31,21.36,22.92,29.15,36.61,43.95
Barbados,,,,,,,,,,,,,,,72.08,74.61
Belarus,23.56,30.64,50.18,64.49,83.29,89.87,92.91,94.07,94.12,93.13,94.41,95.72,95.52,96.18,96.45,95.82
Belgium,13.84,22.25,27.52,36.13,43.49,49.86,54.88,61.04,69.22,74.57,78.13,79.70,80.32,81.69,108.39,111.72
Belize,7.25,9.81,14.37,17.33,22.72,21.27,23.53,25.43,29.20,32.43,34.39,39.03,42.96,47.63,74.15,81.93
Benin,0.31,0.59,1.01,1.77,2.05,2.91,3.44,4.37,3.44,2.98,4.71,7.66,13.57,16.27,20.38,24.33
Bhutan,0.20,0.38,0.86,1.06,2.06,3.62,4.52,5.85,6.93,8.17,12.43,15.81,23.55,29.00,34.82,40.22
Bolivia (Plurinational State of),10.60,11.39,13.25,15.80,18.74,23.15,26.97,28.91,31.25,36.54,43.91,51.15,59.96,62.64,88.66,95.19
Bosnia and Herzegovina,18.16,25.96,29.33,35.45,45.83,53.54,63.22,72.82,75.42,74.00,79.80,86.57,93.72,93.69,109.12,110.29
Botswana,0.93,1.83,3.46,6.02,8.07,11.40,16.30,20.86,28.11,34.34,38.24,46.86,53.43,56.96,84.64,92.19
