country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.16,0.26,0.31,0.43,0.32,1.05,2.75,3.45,3.49,3.84,3.30,5.50,7.60,12.46,20.27,25.86
Africa,1.12,1.61,2.21,3.05,4.36,5.79,7.86,10.61,13.55,16.00,18.92,23.08,26.75,28.13,30.53,33.41
Albania,5.09,9.42,11.24,15.74,25.64,39.73,43.38,44.09,46.50,49.55,41.60,50.73,60.02,67.34,76.23,81.45
Algeria,0.11,0.29,0.74,1.58,3.79,6.28,9.01,14.03,20.09,27.69,35.87,45.52,53.08,58.78,63.44,67.20
Angola,0.06,0.09,0.16,0.16,0.25,0.34,0.49,0.76,0.94,1.04,1.24,2.22,6.66,4.01,5.43,7.23
Antigua and Barbuda,,,,,,,,,,,,,,,67.67,71.17
Argentina,10.46,13.87,18.26,22.55,27.78,32.84,37.34,41.17,45.39,48.76,51.41,55.64,58.04,62.13,88.70,95.03
Armenia,41.41,60.45,70.78,82.02,89.61,93.01,94.50,95.26,95.72,95.36,94.64,95.51,96.77,96.78,97.36,96.75
Aruba,4.42,4.23,7.93,12.73,13.78,18.87,24.35,31.48,37.31,38.72,42.28,46.83,47.14,54.53,60.82,65.59
Asia,5.95,7.18,9.47,11.66,13.82,15.63,20.54,22.99,23.64,27.22,32.37,38.94,44.87,52.91,60.45,66.13
Australia,43.26,53.69,61.02,69.92,77.41,84.94,89.49,92.44,94.25,95.58,96.47,97.08,97.76,97.96,131.55,132.96
Australia and New Zealand,38.98,48.76,56.60,65.76,73.99,82.60,87.67,90.57,92.58,94.14,95.22,95.88,96.53,96.94,97.54,96.97
Austria,28.15,31.27,38.90,53.84,58.71,61.47,66.70,71.62,74.01,75.78,78.63,81.48,84.70,85.87,125.87,130.20
Azerbaijan,42.24,44.97,52.94,64.09,74.23,81.33,85.17,87.02,87.83,88.25,89.81,91.24,91.35,93.14,94.42,94.89
Bahamas,16.92,26.25,35.58,46.80,59.50,73.78,84.36,89.32,91.30,91.95,91.91,94.02,96.13,96.60,97.28,97.08
Bahrain,4.15,6.98,11.43,17.67,24.89,31.40,36.17,37.21,41.10,52.36,48.41,63.00,60.61,80.64,99.26,102.47
Bangladesh,0.32,0.51,0.80,1.18,1.81,2.80,3.83,4.91,6.45,8.77,11.83,16.54,19.82,26.01,33.45,40.46
Barbados,,,,,,,,,,,,,,,67.67,71.35
Belarus,22.18,29.34,50.39,65.46,85.24,92.06,94.92,95.84,95.87,95.23,96.15,97.06,96.82,97.32,97.46,96.72
Belgium,12.40,25.67,30.42,39.04,45.39,50.51,54.46,59.72,67.55,72.77,76.07,77.86,78.36,80.25,104.71,108.37
Belize,6.34,9.44,13.45,15.96,21.14,20.57,23.37,24.80,29.48,32.45,35.99,41.49,46.02,51.81,83.99,92.98
Benin,0.19,0.34,0.67,0.87,1.10,1.60,1.65,2.12,1.56,1.27,2.22,4.38,7.22,12.24,16.30,19.76
Bhutan,0.10,0.15,0.32,0.35,0.61,1.06,1.69,2.34,3.16,4.24,8.20,14.01,21.35,27.91,34.76,40.95
Bolivia (Plurinational State of),7.92,9.04,10.73,12.66,15.19,19.17,22.90,25.13,28.00,33.54,40.90,49.32,58.57,62.29,91.64,98.83
Bosnia and Herzegovina,8.12,13.16,15.45,21.06,30.87,38.36,49.18,62.92,68.77,68.51,76.14,84.41,93.33,93.14,111.78,113.21
Botswana,0.67,1.34,2.97,4.54,6.76,9.74,14.53,18.60,25.34,31.86,37.21,47.65,55.44,59.73,89.81,98.08
Brazil,6.08,7.54,9.65,12.82,17.77,23.01,27.46,31.02,33.87,37.91,43.85,50.17,54.74,60.81,72.53,77.84
Brunei Darussalam,,,,,,,,,,,,,,,64.53,69.31
Bulgaria,18.40,30.38,40.88,50.55,64.44,71.84,77.04,79.30,80.49,80.03,78.76,80.78,82.71,83.58,101.77,104.73
Burkina Faso,0.01,0.01,0.04,0.08,0.16,0.26,0.38,0.56,0.66,0.77,0.96,1.13,0.92,1.52,2.29,3.23
Burundi,0.00,0.00,0.01,0.03,0.09,0.34,0.47,0.59,0.62,0.96,1.65,2.25,2.44,3.74,5.11,6.88
