country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.45,1.33,2.62,6.11,10.48,10.82,13.38,15.45,14.06,12.68,13.49,18.57,25.60,29.92,37.66,43.87
Africa,3.75,4.90,6.27,7.88,10.55,13.06,16.38,19.54,22.14,23.27,25.53,28.85,32.73,32.24,33.77,36.78
Albania,13.34,21.24,26.38,32.36,44.24,53.31,54.73,53.20,52.27,51.69,44.06,51.17,59.11,64.47,71.75,76.62
Algeria,0.58,1.48,3.07,6.84,11.44,13.90,15.81,19.33,24.03,29.31,36.76,37.90,43.89,49.55,54.42,58.43
Angola,0.19,0.32,0.45,0.58,0.92,1.43,2.06,2.63,2.99,3.12,3.36,4.91,11.32,7.80,9.40,11.61
Antigua and Barbuda,,,,,,,,,,,,,,,76.46,76.86
Argentina,10.64,13.38,16.33,19.70,23.18,27.09,31.03,34.13,37.90,40.41,42.48,45.28,47.91,49.70,79.34,84.46
Armenia,44.59,64.48,75.39,85.67,91.28,92.19,92.74,93.09,93.00,92.58,90.68,91.71,92.87,93.40,94.62,94.71
Aruba,9.15,9.56,14.24,17.09,22.18,24.14,26.38,31.08,33.45,33.40,32.30,34.05,31.33,36.97,42.11,47.98
Asia,10.19,13.13,17.08,19.80,22.35,25.00,30.26,32.21,31.93,34.98,39.21,44.27,48.49,54.95,61.83,67.16
Australia,52.56,62.27,69.55,76.30,81.62,87.26,90.14,91.73,93.48,95.09,95.81,96.36,97.10,97.25,120.51,121.57
Australia and New Zealand,47.79,57.04,64.60,71.67,77.80,84.78,87.91,89.36,91.34,93.19,94.06,94.73,95.53,95.91,96.60,95.94
Austria,52.61,58.03,66.15,74.18,76.83,77.91,80.62,82.07,81.91,81.63,81.05,81.11,82.81,81.06,107.98,111.84
Azerbaijan,55.74,58.21,68.47,77.66,82.24,84.02,84.33,84.50,85.14,86.51,88.71,90.97,91.47,93.17,94.46,94.95
Bahamas,23.99,31.86,37.74,47.39,58.43,69.22,78.50,85.35,87.41,88.23,89.84,92.47,94.72,95.60,96.42,96.30
